Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Repair and Renovation of Civil and Electrical works at Open Air Auditorium for Konark Festival-2023 at Konark.,Repair and Renovation of Civil and Electrical works at Open Air Auditorium for Konark Festival-2023 at Konark.,Please refer Tender documents. ,NA ,"31,70,000",Civil Works - Others,NA ,Tender,90.0,20.0,Konark.,752111.0,NA ,NA ,NA ,Superintending Engineer(I/C) O.T.D.C Ltd,No ,No,"31,700",Yes,percentage,1.0%,Nil,Nil,"6,000","1,080",Nil,Nil,No,1.0,ICICI BANK,1.0,Repair and Renovation of Civil and Electrical works at Open Air Auditorium for Konark Festival-2023 at Konark,Other,,Odisha Tourism Devl. Corp.,BP-I/05/2023-24 dt. 25.10.2023,2023_OTDC_96090_2,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of Tender, EMD, Contractor Registration License, Pan card, Affidavit, GST,work experience cert",Superintending Engineer(I/C) O.T.D.C Ltd,Superintending Engineer(I/C) O.T.D.C Ltd Lewis road Bhubaneswar.,27-Oct-2023 03:10 PM,06-Nov-2023 03:00 PM,27-Oct-2023 03:10 PM,06-Nov-2023 02:00 PM,NA ,NA ,27-Oct-2023 03:10 PM,06-Nov-2023 02:00 PM,AOC,1.0,2304602.0,FABRICON,INR,"3,179,909",08-Dec-2023,"INR 3,179,909",20.0,Subrat Kumar Jena,08-Dec-2023 01:39 PM,OATWO.PDF (1152.00 KB),Repair and Renovation of Civil and Electrical works at Open Air Auditorium for Konark Festival-2023 at Konark.,Odisha Tourism Devl. Corp.,2023_OTDC_96090_2,BP-I/05/2023-24 dt. 25.10.2023,Repair and Renovation of Civil and Electrical works at Open Air Auditorium for Konark Festival-2023 at Konark.,L.SAHOO,Internal,A.S. SWAINA.RATH.SKJENA,Subrat Kumar Jena,08-Dec-2023 01:24 PM,finsummary_469607.pdf (1151.76 KB),L.SAHOO,Internal,A.S. SWAINA.RATH.SKJENA,Subrat Kumar Jena,08-Dec-2023 01:16 PM,techsummary_469607.pdf (4618.98 KB),1,2307537,Bimalesh Nayak,06-Nov-2023 11:50 AM,Rejected-AOC,Fulfilled eligibility criteria,08-Dec-2023 01:41 PM,Finance,Tender Proceeding,Subrat Kumar Jena,08-Dec-2023 12:48 PM,finance_469607.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2307295,Chinmaya Khuntia,05-Nov-2023 10:38 PM,Rejected-AOC,Fulfilled eligibility criteria,08-Dec-2023 01:41 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2307802,CHITTARANJAN MUDULI,06-Nov-2023 01:27 PM,Rejected-AOC,Fulfilled eligibility criteria,08-Dec-2023 01:41 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2304602,FABRICON,06-Nov-2023 08:42 AM,Accepted-AOC,Fulfilled eligibility criteria,08-Dec-2023 01:41 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2307855,HEMANTA KUMAR SAMAL,06-Nov-2023 01:52 PM,Rejected-AOC,Fulfilled eligibility criteria,08-Dec-2023 01:41 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2304600,JITENDRIY NAYAK,04-Nov-2023 09:38 PM,Rejected-AOC,Fulfilled eligibility criteria,08-Dec-2023 01:41 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2307594,MONALISA DAS,06-Nov-2023 12:41 PM,Rejected-AOC,Fulfilled eligibility criteria,08-Dec-2023 01:41 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2307459,M/S AMON TRADING AND CO,06-Nov-2023 11:11 AM,Rejected-AOC,Fulfilled eligibility criteria,08-Dec-2023 01:41 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2307456,M/S BINORI CONSTRUCTION AND INTERIOR,06-Nov-2023 11:07 AM,Rejected-AOC,Fulfilled eligibility criteria,08-Dec-2023 01:41 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2302543,M/S SILICON INTERIORS,31-Oct-2023 03:29 PM,Rejected-AOC,Fulfilled eligibility criteria,08-Dec-2023 01:41 PM,,,,,,,AOC
