Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Municipal Bodies||Basudevpur Municipality,BSPM-01-2023-24,2023_ORULB_93068_58,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,25-Aug-2023 04:30 PM,01-Sep-2023 11:00 AM,25-Aug-2023 04:30 PM,31-Aug-2023 05:00 PM,NA ,NA ,25-Aug-2023 04:30 PM,31-Aug-2023 05:00 PM,Construction of paver road from Sureswarpur road towards Charigharia Sahi road vai- dangua pokhari adi ward 9,Construction of paver road from Sureswarpur road towards Charigharia Sahi road vai- dangua pokhari adi ward 9,Please refer Tender documents. ,NA ,"3,27,543",Civil Works - Roads,NA ,Tender,90.0,30.0,Basudevpur Municipality,756125.0,NA ,NA ,NA ,Basudevpur Municipality,No ,No,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,EO,Basudevpur Municipality,"3,275",Yes,fixed,,Nil,Nil,1,ICICI BANK,AOC,NIBEDITA BEHERA,Internal,"EO,ME,JE",Samir Ranjan Dash,20-Nov-2023 12:18 PM,finsummary_453389.pdf (10278.84 KB),Municipal Bodies||Basudevpur Municipality,2023_ORULB_93068_58,BSPM-01-2023-24,Construction of paver road from Sureswarpur road towards Charigharia Sahi road vai- dangua pokhari adi ward 9,1,2223745,SASHIKANTA SETHI(S.C),INR,"402,076",Finance,ok,Manas Kumar Dandapat,02-Sep-2023 03:22 PM,,BOQ Comparative Chart,11-Dec-2023,"INR 390,365",30.0,Samir Ranjan Dash,11-Dec-2023 03:43 PM,58.pdf (262.00 KB),ok,1,2223810,Kamala Kanta Barik,30-Aug-2023 01:01 PM,Accepted-AOC,ok,11-Dec-2023 03:44 PM,NIBEDITA BEHERA,Internal,"EO,ME,JE",Manas Kumar Dandapat,07-Nov-2023 02:46 PM,techsummary_453389.pdf (10275.71 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,2,ICICI NEFT/RTGS,AOC,,,,,,,,,,,2,2223810,Kamala Kanta Barik,INR,"390,365",,,,,,,,,,,,,,2,2223745,SASHIKANTA SETHI(S.C),30-Aug-2023 02:11 PM,Accepted-AOC,ok,11-Dec-2023 03:44 PM,,,,,,,AOC
