S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GST, AFFIDAVIT, REGISTRTION ETC AS PER DTCN",27-Sep-2023 03:00 PM,13-Oct-2023 11:30 AM,27-Sep-2023 03:00 PM,12-Oct-2023 05:00 PM,27-Sep-2023 03:00 PM ,07-Oct-2023 02:00 PM ,27-Sep-2023 03:00 PM,12-Oct-2023 05:00 PM,COMMISSIONER,BERHAMPUR MUNICIPAL CORPORATION,Municipal Bodies||Brahmapur Municipal Corporation,BMC (BAM)/281/2023-24,2023_ORULB_94705_119,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"32,696",Yes,fixed,,Nil,Nil,"7,080",0.0,Nil,Nil,No,Const. of Main Drain and Impv. Of Road at Bijipur Canal Sahi in w.No.25.,Const. of Main Drain and Impv. Of Road at Bijipur Canal Sahi in w.No.25.,Please refer Tender documents ,NA ,"32,69,584",Civil Works - Others,NA ,Tender,120.0,120.0,"BERHAMPUR MUNICIPAL CORPORATION, BERHAMPUR",760002.0,NA ,NA ,NA ,"BERHAMPUR MUNICIPAL CORPORATION, BERHAMPUR",No ,No,AOC,Commissioner,Internal,City Engineer Executive Engineer Junior Engineer,Ranjan Kumar Panda,26-Dec-2023 12:04 PM,techsummary_464013.pdf (423.88 KB),Commissioner,Internal,City Engineer Executive Engineer Junior Engineer,Ranjan Kumar Panda,26-Dec-2023 12:10 PM,finsummary_464013.pdf (329.94 KB),Finance,Admitted,Moningi Nageswara Subudhi,17-Oct-2023 11:38 AM,finance_464013.pdf,BOQ Comparative Chart,1,2285417,DEBASISH PATNAIK,11-Oct-2023 09:15 PM,Rejected-Finance,Rejected,26-Dec-2023 12:10 PM,1.0,2285068.0,DEEPAK KUMAR BEHERA,INR,"3,367,672.08",Municipal Bodies||Brahmapur Municipal Corporation,2023_ORULB_94705_119,BMC (BAM)/281/2023-24,Const. of Main Drain and Impv. Of Road at Bijipur Canal Sahi in w.No.25.,26-Dec-2023,"INR 3,269,584.54",120.0,Ranjan Kumar Panda,26-Dec-2023 12:12 PM,281_119-1.pdf (415.00 KB),As per estimated rate,AOC
2,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,2285068,DEEPAK KUMAR BEHERA,11-Oct-2023 01:49 PM,Accepted-AOC,Accepted,26-Dec-2023 12:13 PM,,,,,,,,,,,,,,,,,AOC
