Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
Executive Officer,Nabarangpur Municipality,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, GST Registration Certificate, GSTIN, PAN and Other Documents.",Construction of Paver Surface Over Kutcha Road from Lambodara Mohapatra Res to Bhabani Behera Res. in Ward no-01,Please referee the Tender Documents,CIVIL WORK ,NA ,"18,17,903",Civil Works - Others,NA ,Tender,90.0,60.0,Nabarangpur,764059.0,NA ,NA ,NA ,Nabarangpur Municipality,No ,No,1,ICICI BANK,"18,179",Yes,fixed,,Nil,Nil,Municipal Bodies||Nabarangpur Municipality,EONM-04/2023-24(23),2023_ORULB_94603_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,25-Sep-2023 11:00 AM,05-Oct-2023 11:00 AM,25-Sep-2023 11:00 AM,04-Oct-2023 05:00 PM,NA ,NA ,25-Sep-2023 11:00 AM,04-Oct-2023 05:00 PM,"6,000",0.0,Nil,Nil,No,AOC,Sri. Kunu Nayak,Internal,"Chairman, ADM, Executive Officer, Municipal Engineer, Accountant, Nabarangpur",Upendra Kumar Nayak,26-Dec-2023 07:11 PM,techsummary_462997.pdf (375.79 KB),1.0,2278707.0,DAYANIDHI BHATARA,INR,"1,799,723",Municipal Bodies||Nabarangpur Municipality,2023_ORULB_94603_2,EONM-04/2023-24(23),Construction of Paver Surface Over Kutcha Road from Lambodara Mohapatra Res to Bhabani Behera Res. in Ward no-01,1,2278707,DAYANIDHI BHATARA,04-Oct-2023 12:47 PM,Accepted-AOC,As per the OPWD code bidder is qualified,26-Dec-2023 07:14 PM,Sri. Kunu Nayak,Internal,,Upendra Kumar Nayak,26-Dec-2023 07:12 PM,finsummary_462997.pdf (375.79 KB),Finance,All documents submitted as per bid,Upendra Kumar Nayak,26-Dec-2023 07:08 PM,,BOQ Comparative Chart,26-Dec-2023,"INR 1,799,723",60.0,Upendra Kumar Nayak,26-Dec-2023 07:13 PM,4869-WR-2.pdf (382.00 KB),AOC
,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2,2278630,DEEPAK RANJEET NAYAK,04-Oct-2023 11:59 AM,Rejected-AOC,Disqualified,26-Dec-2023 07:14 PM,,,,,,,,,,,,,,,,,,,AOC
