Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Executive Officer,"Executive Officer, Bhadrak Municipality",1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid document cost, EMD, GST, Registration Certificate, Affidavit and other documents as per DTCN",Municipal Bodies||Bhadrak Municipality,BM-BDK-02-2023-24,2023_ORULB_94391_24,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1,ICICI BANK,"10,200",Yes,fixed,,Nil,Nil,Construction of paver road from Chinta house towards Main road (in front of Dr. J.K Mohanty house) in Ward No.16,Construction of paver road from Chinta house towards Main road (in front of Dr. J.K Mohanty house) in Ward No.16,Please refer Tender documents. ,NA ,"10,15,300",Civil Works - Others,NA ,Tender,90.0,60.0,Bhadrak Municipality,756100.0,NA ,NA ,NA ,Municipal Council Bhadrak,No ,No,16-Sep-2023 10:00 AM,26-Sep-2023 11:00 AM,16-Sep-2023 10:00 AM,25-Sep-2023 05:00 PM,NA ,NA ,16-Sep-2023 10:00 AM,25-Sep-2023 05:00 PM,AOC,Gulmaki Dalawzi,Internal,Details attached below,Deviprasad Mohanty,01-Dec-2023 04:43 PM,finsummary_461909.pdf (236.75 KB),Municipal Bodies||Bhadrak Municipality,2023_ORULB_94391_24,BM-BDK-02-2023-24,Construction of paver road from Chinta house towards Main road (in front of Dr. J.K Mohanty house) in Ward No.16,1.0,2268286.0,Ashok Kumar Singh,INR,"994,994",Finance,ok,Pradip Kumar Saha,26-Sep-2023 01:44 PM,,BOQ Comparative Chart,01-Dec-2023,"INR 994,994",60.0,Deviprasad Mohanty,01-Dec-2023 04:44 PM,24.pdf (132.00 KB),work order issued,1,2268286,Ashok Kumar Singh,24-Sep-2023 01:09 PM,Accepted-AOC,Quoted first lowest,01-Dec-2023 04:45 PM,Gulmaki Dalawzi,Internal,Details attached below,Deviprasad Mohanty,01-Dec-2023 04:40 PM,techsummary_461909.pdf (236.75 KB),AOC
,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2267461,Dayanidhi Mohapatra,23-Sep-2023 05:52 PM,Rejected-AOC,Quoted second lowest,01-Dec-2023 04:45 PM,,,,,,,AOC
