Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
Executive Engineer,Internal,Asst. Executive Engineer,Nanda Kishor Pal,07-Dec-2023 05:57 PM,techsummary_469657.pdf (415.92 KB),Municipal Bodies||Cuttack Municipal Corporation,2023_ORULB_96046_2,MC(CMC)CTC_Div-I_No16/2023-24,Errection of Temporary stall for Health Centre and SHG Groups for Baliyatra 2023 (Lower and Upper Baliyatra Ground),1.0,2306326.0,SUDHIR KUAMR PAL,INR,"1,160,387",1,2304555,ASHOK KUMAR SWAIN,03-Nov-2023 08:49 PM,Rejected-AOC,Rejected,07-Dec-2023 06:30 PM,Finance,Eleven bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidders to be verified.,Nanda Kishor Pal,07-Nov-2023 05:28 PM,finance_469657.pdf,BOQ Comparative Chart,Executive Engineer,Internal,Asst. Executive Engineer,Nanda Kishor Pal,07-Dec-2023 06:24 PM,finsummary_469657.pdf (415.92 KB),07-Dec-2023,"INR 1,160,387",15.0,Nanda Kishor Pal,07-Dec-2023 06:27 PM,8699PW.pdf (65.00 KB),Work Order,AOC,Municipal Bodies||Cuttack Municipal Corporation,MC(CMC)CTC_Div-I_No16/2023-24,2023_ORULB_96046_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,27-Oct-2023 06:00 PM,07-Nov-2023 11:00 AM,27-Oct-2023 06:00 PM,04-Nov-2023 05:00 PM,27-Oct-2023 06:00 PM ,04-Nov-2023 05:00 PM ,27-Oct-2023 06:00 PM,04-Nov-2023 05:00 PM,"13,650",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST AND EMD ONLINE,VAT, PAN, EPF REGISTRATION AND GST-IN CERTIFICATE OTHER DOCUMENTS",Errection of Temporary stall for Health Centre and SHG Groups for Baliyatra 2023 (Lower and Upper Baliyatra Ground),Errection of Temporary stall for Health Centre and SHG Groups for Baliyatra 2023 (Lower and Upper Baliyatra Ground),Please refer Tender documents. ,NA ,"13,65,000",Civil Works - Others,NA ,Tender,90.0,15.0,CMC,753012.0,NA ,NA ,NA ,"At Bikash Bhawan, Jagannathlane",No ,No,"Executive Engineer,Div-I","At Bikash Bhawan, Jagannathlane Badambadi, Dist Cuttack, Pin-753012","7,080",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,2,2305827,CHANDRABATI BISWAL,03-Nov-2023 09:03 PM,Rejected-AOC,Rejected,07-Dec-2023 06:30 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,3,2305721,CHINTAMANI SHUKLA,03-Nov-2023 07:14 PM,Rejected-AOC,Rejected,07-Dec-2023 06:30 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2304536,JYOTIRMAI PATRA,03-Nov-2023 09:12 PM,Rejected-AOC,Rejected,07-Dec-2023 06:30 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2305058,PINKINA SWAIN,03-Nov-2023 12:58 PM,Rejected-AOC,Rejected,07-Dec-2023 06:30 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2305424,Ramesh Kumar Mahali,03-Nov-2023 03:18 PM,Rejected-AOC,Rejected,07-Dec-2023 06:30 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2305835,SIBENDRA BEHERA,03-Nov-2023 09:14 PM,Rejected-AOC,Rejected,07-Dec-2023 06:30 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2304020,Sri Jagabandhu Sethy,02-Nov-2023 01:47 PM,Rejected-AOC,Rejected,07-Dec-2023 06:30 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2306326,SUDHIR KUAMR PAL,04-Nov-2023 03:09 PM,Accepted-AOC,L1 through lottery system,07-Dec-2023 06:30 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2304972,SUKANTA MALIK,03-Nov-2023 12:43 PM,Rejected-AOC,Rejected,07-Dec-2023 06:30 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,11,2305917,TUSAR KANTI HARICHANDAN,04-Nov-2023 12:46 AM,Rejected-AOC,Rejected,07-Dec-2023 06:30 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
