S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,1st CORRIGENDUM,Date,,1.0,Fee/PreQual/Technical/Finance,.xls,Bill of Quantity,"Improvement of Paver Road from Samira Chhatria Res. to Shrichauhan res,W.No.5",Paver Road work,Please refer Tender Documents  ,NA ,"3,19,000",Civil Works - Roads,NA ,Tender,180.0,60.0,Balangir Municipality,767001.0,NA ,NA ,NA ,"Office of the Municipal Council, Balangir",No ,No,1,ICICI BANK,07-Sep-2023 09:00 AM,25-Sep-2023 11:00 AM,07-Sep-2023 09:00 AM,22-Sep-2023 05:00 PM,NA ,NA ,07-Sep-2023 09:00 AM,22-Sep-2023 05:00 PM,Municipal Bodies||Balangir Municipality,BLGR MPTY/07(01-125)/2023-24,2023_ORULB_93864_33,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Officer, Balangir Municipality","Office of the Municipal Council, Balangir","2,000",0.0,Nil,Nil,No,"3,190",Yes,percentage,1.0%,Nil,Nil,AOC,Municipal Bodies||Balangir Municipality,2023_ORULB_93864_33,BLGR MPTY/07(01-125)/2023-24,"Improvement of Paver Road from Samira Chhatria Res. to Shrichauhan res,W.No.5","Smt.Lika Sahu,Chairperson,Balangir Municipality",Internal,"Chairperson,Executive Officer,Municipal Engineer, Asst.Engineer,Junior Engineer,Balangir Municipality",Biswambhar Mishra,21-Dec-2023 05:59 PM,finsummary_459184.pdf (187.02 KB),Finance,2 Nos. of bidders have participated.,Biswambhar Mishra,03-Oct-2023 08:32 AM,,BOQ Comparative Chart,1.0,2263206.0,ALAKA DASH,INR,"256,775.09",27-Dec-2023,"INR 256,775.09",60.0,Biswambhar Mishra,27-Dec-2023 07:10 PM,WO0720232433.pdf (436.00 KB),"After approval of the tender Committee, the contractor Smt. Alka Dash is awarded the above work vide W/O No.5520 Dt.05.12.2023",1,2263206,ALAKA DASH,20-Sep-2023 06:37 PM,Accepted-AOC,L1,27-Dec-2023 07:11 PM,"Lika Sahu,Chairperson, Balangir Municipality",Internal,"Chairperson , Executive Officer, Municipal Engineer,Asst. Engineer, Junior Engineer, Balangir Municipality",Biswambhar Mishra,19-Oct-2023 08:16 AM,techsummary_459184.pdf (90.69 KB),AOC
,,,,,,.pdf,"Online proof of tender paper cost, EMD,GSTIN,PAN,RC,Affidavit and any others documents as per DTCN",,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2264292,SUSANTA PANIGRAHI,21-Sep-2023 01:56 PM,Rejected-Finance,other then L1 Bidder,21-Dec-2023 05:59 PM,,,,,,,AOC
