Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
"COLLECTOR, KORAPUT",Internal,"CCSO KORAPUT, RTO KORAPUT, DSWO KORAPUT, DLO KORAPUT",Sibananda Maharana,24-Oct-2023 08:44 PM,finsummary_434313.pdf (228.28 KB),01-Nov-2023,"INR 5,822,457.74",700.0,SUVENDU KUMAR ROUT,02-Dec-2023 02:00 PM,1206.pdf (786.00 KB),ESTIMATED CONTRACT VALUE FOR THE BIENNIAL 2023-25,1,2124301,JAY DURGA TRANSPORT,01-May-2023 01:26 PM,Not Admitted-Finance,Not qualified for AOC,24-Oct-2023 03:06 PM,Technical,THREE OUT OF FOUR BIDDERS ARE QUALIFIED IN TECHNICAL SCRUTINY.,Pradeep Panda,09-Jun-2023 05:07 PM,technical_434313.pdf,Finance,DEVI PRASAD MISHRA WAS FOUND LOWEST (L-1) BIDDER ON SCRUTINY OF FINANCIAL BID.,Sibananda Maharana,24-Oct-2023 03:06 PM,finance_434313.pdf,BOQ Comparative Chart,1.0,2123829.0,M/S DEVI PRASAD MISHRA,INR,61.84,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Koraput,2023_OSCSC_87907_1,481-2004/13.04.2023,APPOINTMENT OF LEVEL-II TRANSPORT CONTRACTOR FOR TRANSPORTATION OF FOOD GRAINS FROM RRC TO DASAMANTAPUR BLOCK IN KORAPUT DISTRICT,"COLLECTOR, KORAPUT",Internal,"DISTRICT MANAGER, JEYPORE, KORAPUT,ALO, KORAPUT,RTO, KORAPUT,DSWO, KORAPUT",Kamalakanta Behera,09-Jun-2023 05:58 PM,09-Jun-2023 06:00 PM,techsummary_434313.pdf (193.97 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,DETAILED TENDER CALL NOTICE (DTCN),1.0,ICICI BANK,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Koraput,481-2004/13.04.2023,2023_OSCSC_87907_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,CCSO-cum-DISTRICT MANAGER,"OFFICE OF THE CCSO-cum-DM OSCSC LTD JEYPORE AT/ POST-IRRIGATION COLONY, JEYPORE PIN - 764001 DIST- KORAPUT","2,91,123",No,fixed,,Nil,Nil,17-Apr-2023 10:00 AM,03-May-2023 11:30 AM,17-Apr-2023 12:00 PM,01-May-2023 05:30 PM,NA ,NA ,17-Apr-2023 12:00 PM,01-May-2023 05:30 PM,09-Jun-2023 06:00 PM,"5,900",0.0,Nil,Nil,No,APPOINTMENT OF LEVEL-II TRANSPORT CONTRACTOR FOR TRANSPORTATION OF FOOD GRAINS FROM RRC TO DASAMANTAPUR BLOCK IN KORAPUT DISTRICT,TRANSPORTATION OF FOOD GRAINS FROM RRC TO DASAMANTAPUR BLOCK IN KORAPUT DISTRICT,AS PER DTCN ,NA ,,Handling and Transportation,NA ,Tender,45.0,700.0,DASAMANTAPUR BLOCK,764043.0,OFFICE OF THE CCSO-cum-DM OSCSC LTD JEYPORE ,"OFFICE OF THE CCSO-cum-DM OSCSC LTD JEYPORE AT/ POST-IRRIGATION COLONY, JEYPORE PIN - 764001 DIST- KORAPUT  ",26-Apr-2023 11:30 AM ,"COLLECTORATE, KORAPUT",No ,No,AOC
,,,,,,,,,,,,,2,2127579,JITENDRA KUMAR MISHRA,01-May-2023 04:31 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,09-Jun-2023 05:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GENERAL INFORMATION (APPENDIX-I) ADDITIONAL DOCUMENT,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3,2123829,M/S DEVI PRASAD MISHRA,01-May-2023 01:23 PM,Accepted-AOC,NEGOTIATED RATE,02-Dec-2023 02:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,FINANCIAL BID (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,2122657,SMKR AND ASSOCIATE,01-May-2023 12:47 PM,Not Admitted-Finance,Not qualified for AOC,24-Oct-2023 03:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
