Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Tender Stage
PHEO||PH Circle Bhawanipatna||PH Division Koraput,2023_PHEO_94465_2,NIT No.4 of 2023-24,"Construction of Divisional Account Officer and Estimator Quarter of P.H. Division, Koraput under State Plan for the year 2023-24",Technical,Three nos. bidders are qualified out of seven nos.,Chiranjibi Mahali,14-Nov-2023 04:01 PM,technical_462166.pdf,"EE, PHD, Koraput",Internal,"AEES, DAO and AE Estimator under this division",Chiranjibi Mahali,27-Dec-2023 05:57 PM,finsummary_462166.pdf (716.04 KB),1.0,2269991.0,GANESH CHANDRA LENKA,INR,"4,433,142",Finance,3nos bidders are qualified out of 7nos,Chiranjibi Mahali,27-Dec-2023 05:54 PM,finance_462166.pdf,BOQ Comparative Chart,27-Dec-2023,"INR 5,214,848",180.0,Chiranjibi Mahali,27-Dec-2023 05:58 PM,aoc.pdf (1152.00 KB),AOC,"Executive Engineer, PHD Koraput",Internal,"AEEs, DAO and Estimator under this division",Chiranjibi Mahali,14-Nov-2023 04:03 PM,14-Nov-2023 04:15 PM,techsummary_462166.pdf (1953.55 KB),1,2273737,Bhagaban Khora,27-Sep-2023 07:41 PM,Rejected-AOC,Not qualified,27-Dec-2023 05:58 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,"Registration Certificate- EMD- Paper cost- GSTIN- PAN- Affidavit, Experience cert. etc. as per DTCN",PHEO||PH Circle Bhawanipatna||PH Division Koraput,NIT No.4 of 2023-24,2023_PHEO_94465_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,"52,200",Yes,fixed,,Nil,Nil,"Executive Engineer, P.H. Division, Koraput","Executive Engineer, P.H. Division, Koraput",18-Sep-2023 11:00 AM,02-Oct-2023 11:00 AM,18-Sep-2023 11:00 AM,30-Sep-2023 05:00 PM,18-Sep-2023 11:00 AM ,27-Sep-2023 05:00 PM ,18-Sep-2023 11:00 AM,30-Sep-2023 05:00 PM,14-Nov-2023 04:15 PM,1.0,Due Date Extended,Admin Corrigendum Date Extend,,"Construction of Divisional Account Officer and Estimator Quarter of P.H. Division, Koraput under State Plan for the year 2023-24","Construction of Divisional Account Officer and Estimator Quarter of P.H. Division, Koraput",Please refer Tender documents. ,NA ,"52,14,848",Civil Works - Water Works,NA ,Rate Contract,120.0,180.0,Koraput,764020.0,NA ,NA ,NA ,"Executive Engineer, P.H. Division, Koraput",No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2269909,BIJAY SETHI,26-Sep-2023 04:19 PM,Not Admitted-Fee/PreQual/Technical,Others-Work experience and annual turn over not furnished as per DTCN,14-Nov-2023 04:01 PM,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2269991,GANESH CHANDRA LENKA,28-Sep-2023 04:01 PM,Accepted-AOC,AOC,27-Dec-2023 05:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2273672,Santosh Kumar Das,28-Sep-2023 03:23 PM,Not Admitted-Fee/PreQual/Technical,"Others-Non submission of affidavit regarding No-relation & authentication of documents, annual turn over",14-Nov-2023 04:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2274428,SIDDHARTH SHANKAR SAHU,28-Sep-2023 02:51 PM,Rejected-AOC,Not qualified,27-Dec-2023 05:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2274594,SRI SADHU NIMIKA,30-Sep-2023 04:36 PM,Not Admitted-Fee/PreQual/Technical,Others-Non submission of work experience within 5 years,14-Nov-2023 04:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2273203,TANKADHAR HARIJAN,27-Sep-2023 01:32 PM,Not Admitted-Fee/PreQual/Technical,"Others-Non submission of affidavit regarding No relation and authentication of documents, annual turn over",14-Nov-2023 04:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
