Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,ok,Ajit Narayanprasad Giri,07-Sep-2023 06:58 PM,,BOQ Comparative Chart,1.0,2233061.0,SUBODHA KUMAR MALLICK (S.C),INR,"1,285,274.93",Municipal Bodies||Pattamundai Municipality,2023_ORULB_92942_35,PM_03/2023-24,Construction of Paver Block Road from Municipality road to Badal Mallik House In Ward No - 06 (Part 2),HEMANT KUMAR SAHOO CP,Internal,,Ajit Narayanprasad Giri,15-Dec-2023 12:27 PM,finsummary_453487.pdf (89.67 KB),HEMANT KUMAR SAHOO CP,Internal,,Ajit Narayanprasad Giri,15-Dec-2023 12:24 PM,techsummary_453487.pdf (78.28 KB),1,2227790,AKASH MALIK,03-Sep-2023 01:23 PM,Rejected-AOC,L2,15-Dec-2023 12:30 PM,15-Dec-2023,"INR 1,516,624",60.0,Ajit Narayanprasad Giri,15-Dec-2023 12:28 PM,AOC.pdf (146.00 KB),AOC,24-Aug-2023 06:55 PM,04-Sep-2023 12:00 PM,24-Aug-2023 06:55 PM,04-Sep-2023 11:00 AM,24-Aug-2023 06:55 PM ,02-Sep-2023 05:00 PM ,24-Aug-2023 06:55 PM,04-Sep-2023 11:00 AM,"12,853",Yes,percentage,1.0%,Nil,Nil,EXECUTIVE OFFICER PATTAMUNDAI MUNICIPALITY,PATTAMUNDAI,1.0,Fee/PreQual/Technical/Finance,.pdf,Technical Document as per DTCN,Municipal Bodies||Pattamundai Municipality,PM_03/2023-24,2023_ORULB_92942_35,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,"6,000",0.0,Nil,Nil,No,Construction of Paver Block Road from Municipality road to Badal Mallik House In Ward No - 06 (Part 2),Construction of Paver Block Road from Municipality road to Badal Mallik House In Ward No - 06 (Part 2),Please refer Tender documents. ,NA ,"12,85,288",Civil Works - Others,NA ,Tender,90.0,60.0,PATTAMUNDAI,754215.0,NA ,NA ,NA ,Pattamundai Municipality,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2233061,SUBODHA KUMAR MALLICK (S.C),03-Sep-2023 06:08 PM,Accepted-AOC,The Bidder Was Selected as L1 because he coted lowest rate than other,15-Dec-2023 12:30 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,AOC
