Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,09-Sep-2023 11:00 AM,22-Sep-2023 11:00 AM,09-Sep-2023 11:00 AM,21-Sep-2023 05:00 PM,NA ,NA ,09-Sep-2023 11:00 AM,21-Sep-2023 05:00 PM,"2,900",Yes,fixed,,Nil,Nil,1,ICICI BANK,"Constructions of Paver block road from G. Martha house towards S.Binod house, W.No.09","Constructions of Paver block road from G. Martha house towards S.Binod house, W.No.09",Please refer Tender documents ,NA ,"2,85,000",Civil Works - Others,Paver block road ,Tender,90.0,60.0,Rajgangpur Municipality Area,770017.0,NA ,NA ,NA ,Rajgangpur Municipality,No ,No,Municipal Bodies||Rajgangpur Municipality,EO/RGP/05 of 2023-24,2023_ORULB_94038_18,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Executive Officer,"Rajgangpur Municipality, Dist-Sundargarh",AOC,Madhuri Lugun,Internal,,Gobinda Dansena,24-Dec-2023 01:58 PM,finsummary_460096.pdf (1173.38 KB),Municipal Bodies||Rajgangpur Municipality,2023_ORULB_94038_18,EO/RGP/05 of 2023-24,"Constructions of Paver block road from G. Martha house towards S.Binod house, W.No.09",1.0,2264223.0,PRAVAT KUMAR BEHERA,INR,"285,450",Finance,ok,Gobinda Dansena,24-Dec-2023 01:17 PM,finance_460096.pdf,BOQ Comparative Chart,25-Dec-2023,"INR 285,450",60.0,Gobinda Dansena,25-Dec-2023 12:18 PM,18.pdf (382.00 KB),1,2264223,PRAVAT KUMAR BEHERA,21-Sep-2023 12:16 PM,Accepted-AOC,Selected,25-Dec-2023 12:19 PM,Madhuri Lugun,Internal,,Gobinda Dansena,24-Dec-2023 01:37 PM,techsummary_460096.pdf (1173.38 KB),AOC
,,,,,,,.pdf,"Paper Cost, EMD, GST, PAN, Reg.-Renewal of Contractor license, Exp. and other document as per NIT",,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2261918,REKHA DAS,19-Sep-2023 09:43 PM,Rejected-AOC,Rejected,25-Dec-2023 12:19 PM,,,,,,,AOC
