Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Executive Engineer,Internal,Asst. Executive Engineer,Nanda Kishor Pal,07-Dec-2023 05:40 PM,techsummary_469656.pdf (418.30 KB),Municipal Bodies||Cuttack Municipal Corporation,2023_ORULB_96046_1,MC(CMC)CTC_Div-I_No16/2023-24,Provision for steel railing paver block and C.C. approach at Baliyatra main gate and painting repairing work Gadagadeswar Ghat and Cuttack in Cuttack,1.0,2303602.0,RESHMA SUBUDHI,INR,"3,537,111",1,2306408,AMITABH SWAIN,04-Nov-2023 03:48 PM,Rejected-AOC,accepted,07-Dec-2023 05:54 PM,Finance,Fourteen bidders participated. BOQ Comparative Chart is enclosed for reference. The Original documents of bidders to be verified.,Nanda Kishor Pal,07-Nov-2023 05:21 PM,finance_469656.pdf,BOQ Comparative Chart,Executive Engineer,Internal,Asst. Executive Engineer,Nanda Kishor Pal,07-Dec-2023 05:50 PM,finsummary_469656.pdf (418.30 KB),07-Dec-2023,"INR 3,537,111",15.0,Nanda Kishor Pal,07-Dec-2023 05:53 PM,8700PW.pdf (67.00 KB),Work order,AOC,Municipal Bodies||Cuttack Municipal Corporation,MC(CMC)CTC_Div-I_No16/2023-24,2023_ORULB_96046_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"7,080",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST AND EMD ONLINE,VAT, PAN, EPF REGISTRATION AND GST-IN CERTIFICATE OTHER DOCUMENTS",Provision for steel railing paver block and C.C. approach at Baliyatra main gate and painting repairing work Gadagadeswar Ghat and Cuttack in Cuttack,Provision for steel railing paver block and C.C. approach at Baliyatra main gate and painting repairing work Gadagadeswar Ghat and Cuttack in Cuttack,Please refer Tender documents. ,NA ,"41,61,000",Civil Works - Others,NA ,Tender,90.0,15.0,CMC,753012.0,NA ,NA ,NA ,"At Bikash Bhawan, Jagannathlane",No ,No,1.0,ICICI BANK,"Executive Engineer,Div-I","At Bikash Bhawan, Jagannathlane Badambadi, Dist Cuttack, Pin-753012",27-Oct-2023 06:00 PM,07-Nov-2023 11:00 AM,27-Oct-2023 06:00 PM,04-Nov-2023 05:00 PM,27-Oct-2023 06:00 PM ,04-Nov-2023 05:00 PM ,27-Oct-2023 06:00 PM,04-Nov-2023 05:00 PM,"41,650",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,2,2304810,ASIS PARIDA,03-Nov-2023 11:23 AM,Rejected-AOC,accepted,07-Dec-2023 05:54 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2305886,BEBARTA SHAKTIPRASAD MOHANTY,04-Nov-2023 03:23 PM,Rejected-AOC,accepted,07-Dec-2023 05:54 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2305845,BISWAJIT BEHERA,03-Nov-2023 09:43 PM,Rejected-AOC,accepted,07-Dec-2023 05:54 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2304006,BISWAJIT ROUT,02-Nov-2023 01:41 PM,Rejected-AOC,accepted,07-Dec-2023 05:54 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2301301,DURGA PRASAD JENA,31-Oct-2023 08:30 PM,Rejected-AOC,accepted,07-Dec-2023 05:54 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2306399,KIREN KUMAR BARIK,04-Nov-2023 03:56 PM,Rejected-AOC,accepted,07-Dec-2023 05:54 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2302847,"MAHAVIR CONSTRUCTION,PROP.-PRIYASINI BEURA",31-Oct-2023 08:53 PM,Rejected-AOC,accepted,07-Dec-2023 05:54 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2304462,NEW ERA INFRATECH,03-Nov-2023 06:22 PM,Rejected-AOC,accepted,07-Dec-2023 05:54 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2305187,RAJENDRA BEHERA,03-Nov-2023 04:24 PM,Rejected-AOC,accepted,07-Dec-2023 05:54 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
