S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD,Valid Regd.Certificate,GST,PAN,Affidavit as per DTCN","27,000",Yes,fixed,,Nil,Nil,"Sinking of Production Well, pipe line connection, Construction of pump house and compound wall , connection to existing pipe line with internal anexternal electrification and commissioning including MS work at Ward No. 8 in Jagatsinghpur Municipality","Sinking of Production Well, pipe line connection, Construction of pump house and compound wall , connection to existing pipe line with internal andexternal electrification and commissioning including MS work at Ward No. 8 in Jagatsinghpur Municipalit",Please refer Tender documents. ,NA ,,Civil Works - Water Works,NA ,Tender,120.0,60.0,"Mahanadivihar, Cuttack",753004.0,NA ,NA ,NA ,"OO Superintending Engineer, PH Division, Cuttack",No ,No,10-Nov-2023 01:00 PM,21-Nov-2023 11:00 AM,10-Nov-2023 01:00 PM,20-Nov-2023 05:00 PM,10-Nov-2023 01:00 PM ,16-Nov-2023 05:00 PM ,10-Nov-2023 01:00 PM,20-Nov-2023 05:00 PM,"Superintending Engineer, PH Division, Cuttack","OO Superintending Engineer, PH Division, Cuttack, Nayabazar, Cuttack",PHEO||SEPH-CIRCLE-CUTTACK||EEPH-DIVN-CUTTACK-II,"SEPH-DIVISION,CTC-29 (04) of 2023-24",2023_PHEO_96773_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,AOC,1.0,2323905.0,NIRUPAMA BEHERA,INR,"2,296,530",30-Dec-2023,"INR 2,296,530",60.0,Arabinda Jena,30-Dec-2023 04:40 PM,wo.pdf (462.00 KB),Er. Arabinda Jena,Internal,"I/C Superintending Engineer, (Estimator), P.H. Division, Cuttack, Divisional Accounts Officer-I, P.H. Division, Cuttack, Additional Chief Engineer, I.C Superintending Engineer, P.H. Division, Cuttack",Arabinda Jena,30-Dec-2023 04:37 PM,finsummary_472267.pdf (385.02 KB),PHEO||SEPH-CIRCLE-CUTTACK||EEPH-DIVN-CUTTACK-II,2023_PHEO_96773_1,"SEPH-DIVISION,CTC-29 (04) of 2023-24","Sinking of Production Well, pipe line connection, Construction of pump house and compound wall , connection to existing pipe line with internal anexternal electrification and commissioning including MS work at Ward No. 8 in Jagatsinghpur Municipality",1,2318413,M/S. NIMAIN CHARAN BARIK,20-Nov-2023 01:17 PM,Rejected-AOC,Rejected,30-Dec-2023 04:41 PM,Er. Arabinda Jena,Internal,"I/C Superintending Engineer, (Estimator), P.H. Division, Cuttack, Divisional Accounts Officer-I, P.H. Division, Cuttack, Additional Chief Engineer, I.C Superintending Engineer, P.H. Division, Cuttack",Arabinda Jena,30-Dec-2023 04:31 PM,techsummary_472267.pdf (385.02 KB),Finance,The validity of tenders depends on the result of scrutiny of the scanned documents submitted by the tenderers online.,Arabinda Jena,21-Nov-2023 12:30 PM,,BOQ Comparative Chart,AOC
2,ICICI NEFT/RTGS,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2323905,NIRUPAMA BEHERA,20-Nov-2023 03:15 PM,Accepted-AOC,Won the lottery and stands 1st lowest,30-Dec-2023 04:41 PM,,,,,,,,,,,,,AOC
