Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Khordha||BALIPATNA Block,2023_PRBLP_97955_1,BPS/24/2023-24,Construction of Multi-Purpose community centre near Nilakantheswar Temple at Pampalo G.P under Balipatna Block..,1.0,2360242.0,JAY MAHADEV CONSTRUCTION,INR,"1,485,951",S P Priyadarsini,Internal,"AEE, AO, SO, JE",SMRUTI PRAJNA PRIYADARSHINEE,22-Dec-2023 05:09 PM,techsummary_477835.pdf (265.04 KB),01-Jan-2024,"INR 1,485,951",90.0,SMRUTI PRAJNA PRIYADARSHINEE,30-Dec-2023 05:32 PM,AOC.pdf (423.00 KB),BY LOTTORY,Finance,Tender Committee formed for opening,SMRUTI PRAJNA PRIYADARSHINEE,22-Dec-2023 04:52 PM,,BOQ Comparative Chart,S P Priyadarsini,Internal,"AEE, AO, SO, JE",SMRUTI PRAJNA PRIYADARSHINEE,30-Dec-2023 05:29 PM,finsummary_477835.pdf (265.12 KB),1,2359721,BASANTA PRADHAN,18-Dec-2023 04:28 PM,Rejected-Finance,BY LOTTORY,30-Dec-2023 05:29 PM,AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"6,000",Nil,Nil,No,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Khordha||BALIPATNA Block,BPS/24/2023-24,2023_PRBLP_97955_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Block Development Officer, Balipatna",Panchayat Samiti Balipatna,07-Dec-2023 03:00 PM,19-Dec-2023 11:00 AM,07-Dec-2023 03:00 PM,18-Dec-2023 05:00 PM,07-Dec-2023 03:00 PM ,14-Dec-2023 05:00 PM ,11-Dec-2023 10:00 AM,18-Dec-2023 05:00 PM,Construction of Multi-Purpose community centre near Nilakantheswar Temple at Pampalo G.P under Balipatna Block..,Construction of Multi-Purpose community centre near Nilakantheswar Temple at Pampalo G.P under Balipatna Block..,Please refer Tender documents. ,NA ,"14,85,951",Civil Works - Buildings,NA ,Rate Contract,120.0,90.0,Pampalo GP Balipatna Block,752102.0,NA ,NA ,NA ,Panchayat Samiti Balipatna,No ,No,"14,860",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2360242,JAY MAHADEV CONSTRUCTION,18-Dec-2023 04:53 PM,Accepted-AOC,L 1,30-Dec-2023 05:32 PM,AOC,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2360584,RAMAKANTA SAHANI,18-Dec-2023 04:04 PM,Rejected-Finance,BY LOTTORY,30-Dec-2023 05:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2360701,RANJIT BHOI,18-Dec-2023 04:51 PM,Rejected-Finance,BY LOTTORY,30-Dec-2023 05:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
