Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"Const of Drain at line-4,Line-4 extenssion and line-5 at Anapurna Nagar in Ward No-12.","Const of Drain at line-4,Line-4 extenssion and line-5 at Anapurna Nagar in Ward No-12.",Please refer Tender documents ,NA ,"32,07,637",Civil Works - Others,NA ,Tender,120.0,120.0,"BERHAMPUR MUNICIPAL CORPORATION, BERHAMPUR",760002.0,NA ,NA ,NA ,"BERHAMPUR MUNICIPAL CORPORATION, BERHAMPUR",No ,No,"32,076",Yes,fixed,,Nil,Nil,"7,080",0.0,Nil,Nil,No,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GST, AFFIDAVIT, REGISTRTION ETC AS PER DTCN",Municipal Bodies||Brahmapur Municipal Corporation,BMC (BAM)/281/2023-24,2023_ORULB_94705_63,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,27-Sep-2023 03:00 PM,13-Oct-2023 11:30 AM,27-Sep-2023 03:00 PM,12-Oct-2023 05:00 PM,27-Sep-2023 03:00 PM ,07-Oct-2023 02:00 PM ,27-Sep-2023 03:00 PM,12-Oct-2023 05:00 PM,COMMISSIONER,BERHAMPUR MUNICIPAL CORPORATION,AOC,Commissioner,Internal,City Engineer Executive Engineer Junior Engineer,Ranjan Kumar Panda,04-Dec-2023 05:04 PM,finsummary_463901.pdf (380.29 KB),Municipal Bodies||Brahmapur Municipal Corporation,2023_ORULB_94705_63,BMC (BAM)/281/2023-24,"Const of Drain at line-4,Line-4 extenssion and line-5 at Anapurna Nagar in Ward No-12.",1.0,2281717.0,SRINIVAS PRADHAN,INR,"3,368,018.88",Finance,Admitted,Moningi Nageswara Subudhi,16-Oct-2023 06:31 PM,finance_463901.pdf,BOQ Comparative Chart,1,2282363,AMIT KUMAR SAHU,08-Oct-2023 08:54 PM,Rejected-Finance,Rejected,04-Dec-2023 05:04 PM,04-Dec-2023,"INR 3,207,637.03",120.0,Ranjan Kumar Panda,04-Dec-2023 05:06 PM,281_63_Finc.pdf (380.00 KB),As per estimated rated,Commissioner,Internal,City Engineer Executive Engineer Junior Engineer,Ranjan Kumar Panda,04-Dec-2023 05:00 PM,techsummary_463901.pdf (369.63 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2281717,SRINIVAS PRADHAN,07-Oct-2023 01:57 PM,Accepted-AOC,Accepted,04-Dec-2023 05:07 PM,,,,,,,,,,,,,,AOC
