Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||SE Salandi Canal Division Bhadrak,e-Procurement Notice No.1 / 2023-24,2023_SCDBH_89282_15,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Superintending Engineer,"O/o the SE, Salandi Canal Division, Bhadrak",1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, Registration Certificate",1.0,ICICI BANK,"6,000",Nil,Nil,No,(15) DESILTING OF KHIRIKONI MINOR RD.5.50KM. TO 9.50KM WITH CONSTRUCTION OF TWO NOS INLET.,Canal improvement work,Please refer Tender documents. ,NA ,,Civil Works - Canal,NA ,Tender,90.0,120.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o the SE, Salandi Canal Division, Bhadrak",No ,No,"19,000",Yes,fixed,,Nil,Nil,26-May-2023 10:00 AM,12-Jun-2023 11:00 AM,26-May-2023 10:00 AM,09-Jun-2023 05:00 PM,26-May-2023 10:00 AM ,01-Jun-2023 05:00 PM ,26-May-2023 10:00 AM,09-Jun-2023 05:00 PM,AOC,"Superintending Engineer, Salandi Canal Division",Internal,"Estimator and DAO, Salandi Canal Division",PRASANTA KUMAR PATEL,10-Jul-2023 05:38 PM,finsummary_439254.pdf (267.03 KB),CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||SE Salandi Canal Division Bhadrak,2023_SCDBH_89282_15,e-Procurement Notice No.1 / 2023-24,(15) DESILTING OF KHIRIKONI MINOR RD.5.50KM. TO 9.50KM WITH CONSTRUCTION OF TWO NOS INLET.,1.0,2157703.0,BISHNU CHARAN MOHAPATRA,INR,"1,609,669",Finance,Tender documents of all the bidders have been downloaded successfully.,PRASANTA KUMAR PATEL,12-Jun-2023 07:25 PM,finance_439254.pdf,BOQ Comparative Chart,1,2156183,BHAIRAB CHANDRA BARIK,07-Jun-2023 09:33 AM,Rejected-Finance,Did not win the lottery,10-Jul-2023 05:38 PM,11-Dec-2023,"INR 1,609,669",120.0,PRASANTA KUMAR PATEL,11-Dec-2023 05:50 PM,11.pdf (374.00 KB),Contract Awarded,"Superintending Engineer, Salandi Canal Division",Internal,"Estimator and DAO, Salandi Canal Division",PRASANTA KUMAR PATEL,05-Jul-2023 05:36 PM,techsummary_439254.pdf (209.30 KB),AOC
,,,,,,,,,,,,,,,,,,.pdf,"Affidavit, No Relation Certificate, undertakings, any other document as per SBD/DTCN",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2157703,BISHNU CHARAN MOHAPATRA,08-Jun-2023 04:56 PM,Accepted-AOC,Won the lottery,11-Dec-2023 05:50 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2157725,DIPAK RANJAN PARIDA,09-Jun-2023 01:00 PM,Rejected-Finance,Did not win the lottery,10-Jul-2023 05:38 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2157628,GOURANGA CHANDRA NAYAK,09-Jun-2023 01:12 PM,Rejected-Finance,Did not win the lottery,10-Jul-2023 05:38 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2151173,HITESH KUMAR PRUSTY,05-Jun-2023 08:36 AM,Rejected-Finance,Did not win the lottery,10-Jul-2023 05:38 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2158091,JAGABANDHU MALIK,09-Jun-2023 11:44 AM,Rejected-Finance,Did not win the lottery,10-Jul-2023 05:38 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2157627,Jagat Ballav Das,08-Jun-2023 04:35 PM,Rejected-Finance,Did not win the lottery,10-Jul-2023 05:38 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2157966,JAYASHREE ROUT,09-Jun-2023 12:10 PM,Rejected-Finance,Did not win the lottery,10-Jul-2023 05:38 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2158234,JYOTIRMAYEE SAHOO,09-Jun-2023 01:19 PM,Rejected-Finance,Did not win the lottery,10-Jul-2023 05:38 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2153941,JYOTSNARANI KANUNGO,07-Jun-2023 08:53 PM,Rejected-Finance,Did not win the lottery,10-Jul-2023 05:38 PM,,,,,,,,,,,,,,AOC
