Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
"SE,UKID, Borigumma",Internal,"Divisional Accountant , Estimator",Hemanta Kumar Hotta,03-Dec-2023 10:39 PM,techsummary_470536.pdf (201.13 KB),1.0,2315026.0,SUJATA RANI PATNAIK,INR,"646,644",CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Upper Kolab Irrigation Division Borigumma,2023_UPIDB_96351_1,SEUKID 02/2023-24 (SL18),Construction of trough wall from RD 0.750 km to RD 0.830 km and RD 0.835 km to RD 0.850 km near CD No 2 of Gadigaon Sub Minor-III.,1,2318251,Banbihari Bisoi,17-Nov-2023 09:39 AM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 07:11 PM,Finance,Bid opening summary,Hemanta Kumar Hotta,03-Dec-2023 09:52 PM,finance_470536.pdf,BOQ Comparative Chart,"SE,UKID, Borigumma",Internal,"Divisional Accountant , Estimator",Hemanta Kumar Hotta,09-Dec-2023 07:11 PM,finsummary_470536.pdf (324.97 KB),11-Dec-2023,"INR 760,668",90.0,Hemanta Kumar Hotta,11-Dec-2023 06:44 PM,Wo18.pdf (225.00 KB),WORK ORDER,AOC,"7,700",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Construction of trough wall from RD 0.750 km to RD 0.830 km and RD 0.835 km to RD 0.850 km near CD No 2 of Gadigaon Sub Minor-III.,CANAL STRUCTURAL WORK,AS PER DTCN ,NA ,"7,60,668",Civil Works - Canal,NA ,Tender,90.0,90.0,BORIGUMMA,764056.0,NA ,NA ,NA ,"Office of the SE UKIDIVN, Borigumma,Dist-Koraput.",No ,No,06-Nov-2023 11:00 AM,18-Nov-2023 11:00 AM,06-Nov-2023 11:00 AM,17-Nov-2023 05:30 PM,NA ,NA ,06-Nov-2023 11:00 AM,17-Nov-2023 05:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, EMD, GST Registration Certificate, GSTIN, PAN and Contractor RC","4,000",Nil,Nil,No,"SE UKIDIVN, Borigumma,Dist-Koraput","Office of the Superintending Engineer, U.K.I.Division,Borigumma, Dist- Koraput, PIN 764056",CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Upper Kolab Irrigation Division Borigumma,SEUKID 02/2023-24 (SL18),2023_UPIDB_96351_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,2,2317643,BIJAYA KUMAR MADALA,16-Nov-2023 06:47 PM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 07:11 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Tender cost, undertaking, Check list, No Relation Certificate and any other documents as per DTCN",,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2313713,BIJAY KUMAR PANDA,13-Nov-2023 06:55 PM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 07:11 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2313822,DEBEEPRASAD SATPATHY,13-Nov-2023 09:25 PM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 07:11 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2315998,HEMANT DASH,15-Nov-2023 05:09 PM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 07:11 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2317995,ISWAR MOHANTY,17-Nov-2023 06:42 AM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 07:11 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2318061,KISHORA BISOI,16-Nov-2023 10:28 PM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 07:11 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2316413,M/S SANJAYA KUMAR NAIK,15-Nov-2023 11:11 PM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 07:11 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2315549,PRASANNA KUMAR PANDA,15-Nov-2023 02:35 PM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 07:11 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2318861,Rajesh Gouda,17-Nov-2023 02:45 PM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 07:11 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
