Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Construction of Paver Surface Over Kutcha Road From Pratap Sagar Munda to MTPL Road Near Sunita Tripaty Res. at Ichhabatiguda in Ward no-17,Please referee the Tender Documents,CIVIL WORK ,NA ,"21,68,995",Civil Works - Others,NA ,Tender,90.0,60.0,Nabarangpur,764059.0,NA ,NA ,NA ,Nabarangpur Municipality,No ,No,"21,690",Yes,fixed,,Nil,Nil,Municipal Bodies||Nabarangpur Municipality,EONM-04/2023-24(23),2023_ORULB_94603_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Officer,Nabarangpur Municipality","At - Nabarangpur Municipality, Nabarangpur.",25-Sep-2023 11:00 AM,05-Oct-2023 11:00 AM,25-Sep-2023 11:00 AM,04-Oct-2023 05:00 PM,NA ,NA ,25-Sep-2023 11:00 AM,04-Oct-2023 05:00 PM,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, GST Registration Certificate, GSTIN, PAN and Other Documents.","6,000",0.0,Nil,Nil,No,AOC,Municipal Bodies||Nabarangpur Municipality,2023_ORULB_94603_12,EONM-04/2023-24(23),Construction of Paver Surface Over Kutcha Road From Pratap Sagar Munda to MTPL Road Near Sunita Tripaty Res. at Ichhabatiguda in Ward no-17,Sri. Kunu Nayak,Internal,"Chairman, ADM, Executive Officer, Municipal Engineer, Accountant, Nabarangpur",Upendra Kumar Nayak,26-Dec-2023 11:05 PM,finsummary_463561.pdf (396.78 KB),Finance,All documents submitted as per bid,Upendra Kumar Nayak,26-Dec-2023 11:02 PM,,BOQ Comparative Chart,1.0,2278394.0,Chandra Sekhar Tripathy,INR,"2,168,995",26-Dec-2023,"INR 2,168,995",60.0,Upendra Kumar Nayak,26-Dec-2023 11:06 PM,4857-WR-12.pdf (385.00 KB),1,2278394,Chandra Sekhar Tripathy,04-Oct-2023 03:33 PM,Accepted-AOC,Qualified,26-Dec-2023 11:07 PM,Sri. Kunu Nayak,Internal,"Chairman, ADM, Executive Officer, Municipal Engineer, Accountant, Nabarangpur",Upendra Kumar Nayak,26-Dec-2023 11:04 PM,techsummary_463561.pdf (396.78 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2278273,DAYANIDHI BHATARA,04-Oct-2023 03:23 PM,Rejected-AOC,Disqualified,26-Dec-2023 11:07 PM,,,,,,,AOC
