Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
AS PER TC MINUTES,Internal,AS PER TC MINUTES,DURGA CHARANA MISHRA,24-Nov-2023 07:32 PM,28-Nov-2023 11:00 AM,techsummary_470042.pdf (106.29 KB),1.0,2315851.0,M/S GODAVARI CONSTRUCTION,INR,"27,318,112",Orissa State Police Housing and Welfare Corporation Ltd,2023_OSPHW_96207_3,22/OPHWC/2023-24,"Construction of Additional Revisional Court Building for Board of Revenue, Odisha at Bargarh, Dist-Bargarh",1.0,2311554.0,ASISH KUMAR MOHANTY,10-Nov-2023 11:27 AM,Rejected-Finance,DUE TO L1 BIDDER BUT L2 BIDDER IS SC BIDDER AND GET WORK,22-Dec-2023 03:28 PM,Technical,TWO BIDDER HAVE PARTICIPATE,Bikram Keshari Malla,16-Nov-2023 11:53 AM,,Finance,FINANCIAL BID OPEN AND COMPARATIVE GENERATED,Bikram Keshari Malla,28-Nov-2023 11:59 AM,,BOQ Comparative Chart,22-Dec-2023,"INR 27,318,112.55",180.0,Bikram Keshari Malla,22-Dec-2023 03:34 PM,WORKING.pdf (386.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 21.12.2023,AS PER ACCEPTANCE LETTER,Internal,AS PER ACCEPTANCE LETTER,Bikram Keshari Malla,22-Dec-2023 03:28 PM,finsummary_470042.pdf (754.65 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",1.0,ICICI BANK,"2,79,800",Yes,fixed,,Nil,Nil,"Construction of Additional Revisional Court Building for Board of Revenue, Odisha at Bargarh, Dist-Bargarh",Building Work,Please refer Tender documents  ,NA ,"2,79,78,403",Civil Works - Buildings,NA ,Tender,90.0,180.0,Bargarh,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR-22,"11,800",0.0,Nil,Nil,No,01-Nov-2023 05:00 PM,16-Nov-2023 11:00 AM,01-Nov-2023 05:00 PM,15-Nov-2023 05:00 PM,01-Nov-2023 05:00 PM ,04-Nov-2023 05:00 PM ,01-Nov-2023 05:00 PM,15-Nov-2023 05:00 PM,28-Nov-2023 11:00 AM,Orissa State Police Housing and Welfare Corporation Ltd,22/OPHWC/2023-24,2023_OSPHW_96207_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,2.0,2315851.0,M/S GODAVARI CONSTRUCTION,15-Nov-2023 04:22 PM,Accepted-AOC,QUALIFIED BIDDER,22-Dec-2023 03:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Other Document as per DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
