Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
07-Jul-2023 05:30 PM,31-Jul-2023 11:00 AM,07-Jul-2023 05:30 PM,27-Jul-2023 05:00 PM,NA ,NA ,07-Jul-2023 05:30 PM,27-Jul-2023 05:00 PM,24-Aug-2023 11:30 AM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Notice Inviting Tender.,"5,900",0.0,Nil,Nil,No,Smt. Tillotama Pradhan,"CSO-cum-District Manager., OSCSC Ltd., Nayagarh",Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Nayagarh,2653/2023,2023_OSCSC_90462_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,"1,14,629",No,fixed,,Nil,Nil,Selection and appointment of Transport Contractor Level-II for the biennial year 2023-25 of Gania Block in Nayagarh District.,Selection and appointment of Transport Contractor Level-II for the biennial year 2023-25 of Gania Block in Nayagarh District.,Please refer Tender documents. ,NA ,"22,92,579",Handling and Transportation,Transportation ,Tender,45.0,633.0,RRCs to FPSs Point of Nayagarh District.,752069.0,"O/O D.M OSCSC Ltd., Nayagarh ","O/O D.M OSCSC Ltd., Nayagarh ",14-Jul-2023 12:00 PM ,"Conference Hall of Collectorate, Nayagarh",No ,No,AOC,COLLECTOR,Internal,"RTO, DSWO, DLO/ALO AND CSO-CUM-DM (CONVENER) OF THE DLTC.",Tilotama Pradhan,21-Aug-2023 06:39 PM,24-Aug-2023 11:30 AM,techsummary_443271.pdf (3547.54 KB),Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Nayagarh,2023_OSCSC_90462_1,2653/2023,Selection and appointment of Transport Contractor Level-II for the biennial year 2023-25 of Gania Block in Nayagarh District.,1.0,2185050.0,PRASANNA KUMAR PANIGRAHI,INR,25.9,Technical,All bidders are admitted for Technical Evaluation.,Tilotama Pradhan,05-Aug-2023 12:07 PM,,1,2186076,ALEKHA CHANDRA RAUT,27-Jul-2023 02:24 PM,Rejected-Finance,LOWEST 2,27-Aug-2023 05:17 PM,Finance,All bidders are qualified for Financial Evaluation.,Tilotama Pradhan,27-Aug-2023 02:50 PM,,BOQ Comparative Chart,COLLECTOR,Internal,"RTO, DSWO, ALO/DLO AND CSO-CUM-DM (CONVENER) OF THE DLTC.",Tilotama Pradhan,27-Aug-2023 05:17 PM,finsummary_443271.pdf (2125.02 KB),10-Nov-2023,INR 25.9,633.0,Brajendra Kumar Mohanty,13-Dec-2023 05:27 PM,3823GANIA.pdf (1287.00 KB),PRASANNA KUMAR PANIGRAHI ASOR,AOC
,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Finance,.xls,Bill of Quantities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2187363,DEEPAK KUMAR BEHERA,27-Jul-2023 01:07 PM,Rejected-Technical,Disqualified,21-Aug-2023 06:39 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2185050,PRASANNA KUMAR PANIGRAHI,27-Jul-2023 01:13 PM,Accepted-AOC,SELECTED AS A LOWEST BIDDER,13-Dec-2023 05:28 PM,,,,,,,,,,,,,,,,,,,,AOC
