Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Pradyut Kumar Mohanty,Internal,"Gourav Pradhan,P Sawanya,Barun Kumar Sa",Barun Kumar Sa,07-Dec-2023 06:20 PM,techsummary_451478.pdf (588.27 KB),07-Dec-2023,"INR 1,692,557.21",45.0,Barun Kumar Sa,07-Dec-2023 06:41 PM,1726.pdf (661.00 KB),Work Order,1,2229012,GOBINDA SAHOO,01-Sep-2023 02:42 PM,Rejected-AOC,Unsuccessful Lottery system,07-Dec-2023 06:41 PM,Finance,Admitted,Barun Kumar Sa,07-Dec-2023 06:19 PM,finance_451478.pdf,BOQ Comparative Chart,1.0,2228165.0,SUBHANSU KUMAR PATTNAIK,INR,"1,692,557.21",Municipal Bodies||Kuchinda NAC,2023_ORULB_92881_17,KCDA/NAC-4/2023-24,Construction of Paver Road from Ghosa football field in Ward No-08,Pradyut Kumar Mohanty,Internal,"Gourav Pradhan,P Sawanya,Barun Kumar Sa",Barun Kumar Sa,07-Dec-2023 06:36 PM,finsummary_451478.pdf (588.27 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"16,926",Yes,percentage,1.0%,Nil,Nil,22-Aug-2023 10:00 AM,02-Sep-2023 10:00 AM,22-Aug-2023 10:00 AM,01-Sep-2023 05:30 PM,22-Aug-2023 10:00 AM ,01-Sep-2023 05:00 PM ,22-Aug-2023 10:00 AM,01-Sep-2023 05:30 PM,Municipal Bodies||Kuchinda NAC,KCDA/NAC-4/2023-24,2023_ORULB_92881_17,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of Paver Road from Ghosa football field in Ward No-08,Construction of Paver Road from Ghosa football field in Ward No-08,As per NIT ,NA ,"16,92,557",Civil Works - Roads,NA ,Tender,90.0,45.0,Ward no-8,768222.0,NA ,NA ,NA ,OFFICE OF THE NAC KUCHINDA,No ,No,EO NAC KUCHINDA,NAC KUCHINDA,1,ICICI BANK,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,2,2228165,SUBHANSU KUMAR PATTNAIK,01-Sep-2023 03:09 PM,Accepted-AOC,successful Lottery system,07-Dec-2023 06:41 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,AOC
