S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1,ICICI BANK,"16,741",Yes,percentage,1.0%,Nil,Nil,Construction of Paver Road from Nurupa house to Manoj Ketchu house(Mahuldihi) in Ward No-01,Construction of Paver Road from Nurupa house to Manoj Ketchu house(Mahuldihi) in Ward No-01,As per NIT ,NA ,"16,74,059",Civil Works - Roads,NA ,Tender,90.0,45.0,Ward no-1,768222.0,NA ,NA ,NA ,OFFICE OF THE NAC KUCHINDA,No ,No,22-Aug-2023 10:00 AM,02-Sep-2023 10:00 AM,22-Aug-2023 10:00 AM,01-Sep-2023 05:30 PM,22-Aug-2023 10:00 AM ,01-Sep-2023 05:00 PM ,22-Aug-2023 10:00 AM,01-Sep-2023 05:30 PM,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,EO NAC KUCHINDA,NAC KUCHINDA,Municipal Bodies||Kuchinda NAC,KCDA/NAC-4/2023-24,2023_ORULB_92881_35,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,Municipal Bodies||Kuchinda NAC,2023_ORULB_92881_35,KCDA/NAC-4/2023-24,Construction of Paver Road from Nurupa house to Manoj Ketchu house(Mahuldihi) in Ward No-01,Pradyut Kumar Mohanty,Internal,"Gourav Pradhan,P Sawanya,Barun Kumar Sa",Barun Kumar Sa,07-Dec-2023 06:33 PM,finsummary_451521.pdf (587.69 KB),Finance,Admitted,Barun Kumar Sa,07-Dec-2023 06:24 PM,finance_451521.pdf,BOQ Comparative Chart,1.0,2229063.0,GOBINDA SAHOO,INR,"1,674,059.36",1,2229063,GOBINDA SAHOO,01-Sep-2023 02:56 PM,Accepted-AOC,successful Lottery system,07-Dec-2023 06:45 PM,07-Dec-2023,"INR 1,674,059.36",45.0,Barun Kumar Sa,07-Dec-2023 06:45 PM,1720.pdf (710.00 KB),Work order,Pradyut Kumar Mohanty,Internal,"Gourav Pradhan,P Sawanya,Barun Kumar Sa",Barun Kumar Sa,07-Dec-2023 06:26 PM,techsummary_451521.pdf (587.69 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2229361,SUBHANSU KUMAR PATTNAIK,01-Sep-2023 03:21 PM,Rejected-AOC,Unsuccessful Lottery system,07-Dec-2023 06:45 PM,,,,,,,,,,,,,,AOC
