S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1,ICICI BANK,Municipal Bodies||Bhawanipatna Municipality,BPM/03/2023-24,2023_ORULB_93128_55,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY","EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY",1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,25-Aug-2023 11:00 AM,08-Sep-2023 10:00 AM,25-Aug-2023 11:00 AM,07-Sep-2023 05:00 PM,NA ,NA ,25-Aug-2023 11:00 AM,07-Sep-2023 05:00 PM,"3,026",Yes,fixed,,Nil,Nil,Construction of Naktiguda Loo to Harekrishna gouda house in Ward No. 13,Construction of Naktiguda Loo to Harekrishna gouda house in Ward No. 13,Please refer Tender documents. ,NA ,"3,02,613",Civil Works - Others,NA ,Tender,90.0,45.0,BHAWANIPATNA MUNICIPALITY,766001.0,NA ,NA ,NA ,BHAWANIPATNA MUNICIPALITY,No ,No,"2,000",0.0,Nil,Nil,No,AOC,Municipal Bodies||Bhawanipatna Municipality,2023_ORULB_93128_55,BPM/03/2023-24,Construction of Naktiguda Loo to Harekrishna gouda house in Ward No. 13,CP,Internal,,Chinmaya Kumar Nayak,12-Dec-2023 06:48 AM,finsummary_454161.pdf (816.60 KB),Finance,ACCEPTED,Chinmaya Kumar Nayak,11-Dec-2023 09:40 PM,,BOQ Comparative Chart,1.0,2240707.0,AKSHAY KUMAR MAHAPATRA,INR,"257,251.05",1,2240707,AKSHAY KUMAR MAHAPATRA,06-Sep-2023 09:38 PM,Accepted-AOC,AWARDED,12-Dec-2023 06:50 AM,12-Dec-2023,"INR 257,251.05",45.0,Chinmaya Kumar Nayak,12-Dec-2023 06:49 AM,PROCEEDINGWBM.pdf (817.00 KB),CP,Internal,,Chinmaya Kumar Nayak,12-Dec-2023 06:45 AM,techsummary_454161.pdf (816.60 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2236793,UDAYANATH CHHATRIA,05-Sep-2023 07:11 PM,Rejected-AOC,L2,12-Dec-2023 06:50 AM,,,,,,,,,,,,,AOC
