Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
ST and SC Development Deptt||ITDA Sundergarh,2023_STSCD_92953_7,ITDASNG-01/2023-2024,Construction of dormitories with bathroom and toilet at Sarda Ashram School under Lephripara Block,1.0,2242673.0,JAYDEV KALO,INR,"2,466,291.93","Collector, Sundargarh",Internal,"AEE, ITDA, Sundargarh, SE, MI Division, Sundargarh, PA, ITDA, Sundargarh",SHARAT KUMAR MAJHI,05-Oct-2023 10:13 PM,06-Oct-2023 03:00 PM,techsummary_454051.pdf (467.47 KB),15-Nov-2023,"INR 2,466,291.93",180.0,SHARAT KUMAR MAJHI,20-Dec-2023 09:37 PM,SARDA.pdf (338.00 KB),AOC,"Collector, Sundargarh",Internal,"AEE, ITDA, Sundargarh, SE, MI Division, Sundargarh, PA, ITDA, Sundargarh",SHARAT KUMAR MAJHI,18-Oct-2023 07:39 PM,finsummary_454051.pdf (403.98 KB),1,2241711,ANMAYA KUMAR BHOI,07-Sep-2023 11:59 AM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:38 PM,Technical,Technical Bid Opened,SHARAT KUMAR MAJHI,11-Sep-2023 11:59 AM,technical_454051.pdf,Finance,Bid opened,SHARAT KUMAR MAJHI,06-Oct-2023 08:42 PM,finance_454051.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,"License, PAN Card, GSTIIN and other documents as per DTCN","29,012",Yes,fixed,,Nil,Nil,25-Aug-2023 11:00 AM,08-Sep-2023 11:00 AM,25-Aug-2023 11:00 AM,07-Sep-2023 05:00 PM,NA ,NA ,25-Aug-2023 11:00 AM,07-Sep-2023 05:00 PM,06-Oct-2023 03:00 PM,ST and SC Development Deptt||ITDA Sundergarh,ITDASNG-01/2023-2024,2023_STSCD_92953_7,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"Project Administrator, ITDA, Sundargarh","ITDA, SUNDARGARH",1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,Construction of dormitories with bathroom and toilet at Sarda Ashram School under Lephripara Block,Construction of dormitories with bathroom and toilet at Sarda Ashram School under Lephripara Block,Please refer Tender documents. ,NA ,"29,01,179",Civil Works - Buildings,NA ,Tender,90.0,180.0,Sundargarh,770001.0,NA ,NA ,NA ,"ITDA, Sundargarh",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2237149,FIROJ KUMAR SINIANI,05-Sep-2023 02:15 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:38 PM,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2242673,JAYDEV KALO,07-Sep-2023 02:23 PM,Accepted-AOC,QUALIFIED,20-Dec-2023 09:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2235802,MAYANK PUROHIT,04-Sep-2023 10:56 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2238594,RICHA MAJHI,06-Sep-2023 10:31 AM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2240547,SANTOSINI CHHATRIA,07-Sep-2023 08:26 AM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2237833,SAROJ KUMAR PATEL,05-Sep-2023 06:53 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2242167,SMITA PRIYADARSINI PATEL,07-Sep-2023 01:04 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2239980,SURAJ KUMAR TOPPO,07-Sep-2023 10:47 AM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2240538,TARUN KUMAR KALO,06-Sep-2023 08:04 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:38 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
