Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Commissioner,Internal,City Engineer Executive Engineer Junior Engineer,Ranjan Kumar Panda,18-Dec-2023 12:02 PM,techsummary_463953.pdf (538.45 KB),18-Dec-2023,"INR 2,349,712.87",120.0,Ranjan Kumar Panda,18-Dec-2023 12:08 PM,281_85-1.pdf (289.00 KB),As per estimated rate,1,2284571,BIKASH PATRO,10-Oct-2023 10:59 PM,Rejected-Finance,Rejected,18-Dec-2023 12:06 PM,Finance,Admitted,Moningi Nageswara Subudhi,16-Oct-2023 07:46 PM,finance_463953.pdf,BOQ Comparative Chart,1.0,2280000.0,UDAYA KUMAR BEHERA,INR,"2,417,854.54",Municipal Bodies||Brahmapur Municipal Corporation,2023_ORULB_94705_85,BMC (BAM)/281/2023-24,Const. of B.T. road from City High School road to Hnuman Bazar and Giri market in W. No 18,Commissioner,Internal,City Engineer Executive Engineer Junior Engineer,Ranjan Kumar Panda,18-Dec-2023 12:06 PM,finsummary_463953.pdf (444.61 KB),AOC,Const. of B.T. road from City High School road to Hnuman Bazar and Giri market in W. No 18,Const. of B.T. road from City High School road to Hnuman Bazar and Giri market in W. No 18,Please refer Tender documents ,NA ,"23,49,713",Civil Works - Others,NA ,Tender,120.0,120.0,"BERHAMPUR MUNICIPAL CORPORATION, BERHAMPUR",760002.0,NA ,NA ,NA ,"BERHAMPUR MUNICIPAL CORPORATION, BERHAMPUR",No ,No,"23,497",Yes,fixed,,Nil,Nil,27-Sep-2023 03:00 PM,13-Oct-2023 11:30 AM,27-Sep-2023 03:00 PM,12-Oct-2023 05:00 PM,27-Sep-2023 03:00 PM ,07-Oct-2023 02:00 PM ,27-Sep-2023 03:00 PM,12-Oct-2023 05:00 PM,"7,080",0.0,Nil,Nil,No,COMMISSIONER,BERHAMPUR MUNICIPAL CORPORATION,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GST, AFFIDAVIT, REGISTRTION ETC AS PER DTCN",Municipal Bodies||Brahmapur Municipal Corporation,BMC (BAM)/281/2023-24,2023_ORULB_94705_85,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,2,2280000,UDAYA KUMAR BEHERA,05-Oct-2023 07:29 PM,Accepted-AOC,Accepted,18-Dec-2023 12:09 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,AOC
