S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,2229202.0,SRIKANTA SWAIN,INR,"557,481",Finance,ok,Ajit Narayanprasad Giri,08-Sep-2023 04:45 PM,,BOQ Comparative Chart,HEMANT KUMAR SAHOO CP,Internal,,Ajit Narayanprasad Giri,14-Dec-2023 03:37 PM,finsummary_453423.pdf (67.66 KB),Municipal Bodies||Pattamundai Municipality,2023_ORULB_92942_32,PM_03/2023-24,Construction of Paver Block Road from CTC Chandabali road to Jena house and Jena Sahi House In Ward No - 05.,HEMANT KUMAR SAHOO CP,Internal,,Ajit Narayanprasad Giri,14-Dec-2023 03:34 PM,techsummary_453423.pdf (51.75 KB),1,2231087,Mr.Paresh Chandra Jena,02-Sep-2023 01:05 PM,Rejected-AOC,L2,14-Dec-2023 03:43 PM,14-Dec-2023,"INR 657,828",60.0,Ajit Narayanprasad Giri,14-Dec-2023 03:40 PM,AOC.pdf (70.00 KB),AOC,Construction of Paver Block Road from CTC Chandabali road to Jena house and Jena Sahi House In Ward No - 05.,Construction of Paver Block Road from CTC Chandabali road to Jena house and Jena Sahi House In Ward No - 05.,Please refer Tender documents. ,NA ,"5,60,283",Civil Works - Others,NA ,Tender,90.0,60.0,PATTAMUNDAI,754215.0,NA ,NA ,NA ,Pattamundai Municipality,No ,No,24-Aug-2023 06:55 PM,04-Sep-2023 12:00 PM,24-Aug-2023 06:55 PM,04-Sep-2023 11:00 AM,24-Aug-2023 06:55 PM ,02-Sep-2023 05:00 PM ,24-Aug-2023 06:55 PM,04-Sep-2023 11:00 AM,EXECUTIVE OFFICER PATTAMUNDAI MUNICIPALITY,PATTAMUNDAI,"5,603",Yes,percentage,1.0%,Nil,Nil,"4,000",0.0,Nil,Nil,No,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,Technical Document as per DTCN,Municipal Bodies||Pattamundai Municipality,PM_03/2023-24,2023_ORULB_92942_32,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2229202,SRIKANTA SWAIN,01-Sep-2023 08:42 PM,Accepted-AOC,The Bidder selected as L1 because he quoted lowest amount than other bidder,14-Dec-2023 03:43 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,AOC
