Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Rural Water Supply and Sanitation||RWSS Circle Sambalpur||RWSS Division Sundergarh,2023_RWSS_90545_4,Bid Identification No. 04 of 2023.24,Supplying of Drinking Water with PVC Tank at Labdajore village near School and AWC of Sumura GP under Hemgir Block.(Installation of Solar dual pump including laying of HDPE pipe) as per reference proposal no-07.,SEDAOAEEAE,Internal,SEDAOAEEAE,Hemanta Kumar Barik,29-Dec-2023 08:34 PM,finsummary_443738.pdf (556.95 KB),29-Dec-2023,"INR 652,470.08",120.0,Hemanta Kumar Barik,29-Dec-2023 08:35 PM,TCN4ID04.pdf (557.00 KB),Work order copy,1.0,2184006.0,PRADEEP KUMAR SAHOO,INR,"652,470.08",Finance,Evaluation Copy,Bailochan Bhoi,16-Sep-2023 01:17 PM,,BOQ Comparative Chart,SEDAOAEEAE,Internal,SEDAOAEEAE,Bailochan Bhoi,16-Sep-2023 01:19 PM,techsummary_443738.pdf (461.36 KB),1,2185963,ANIT KUMAR NAIK,25-Jul-2023 04:06 PM,Rejected-AOC,Lowest,29-Dec-2023 08:36 PM,AOC,1.0,ICICI BANK,Supplying of Drinking Water with PVC Tank at Labdajore village near School and AWC of Sumura GP under Hemgir Block.(Installation of Solar dual pump including laying of HDPE pipe) as per reference proposal no-07.,Supplying of Drinking Water with PVC Tank at Labdajore village near School and AWC of Sumura GP under Hemgir Block.(Installation of Solar dual pump including laying of HDPE pipe) as per reference proposal no-07.,Please refer Tender documents. ,NA ,"7,67,522",Civil Works - Water Works,NA ,Tender,90.0,120.0,Sundargarh,770001.0,NA ,NA ,NA ,"O/O the SE , RWS and S Division, Sundargarh",No ,No,Rural Water Supply and Sanitation||RWSS Circle Sambalpur||RWSS Division Sundergarh,Bid Identification No. 04 of 2023.24,2023_RWSS_90545_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"SE , RWS and S Division, Sundargarh","O/O the SE , RWS and S Division, Sundargarh",14-Jul-2023 10:00 AM,26-Jul-2023 11:00 AM,14-Jul-2023 10:00 AM,25-Jul-2023 05:00 PM,14-Jul-2023 10:00 AM ,25-Jul-2023 05:00 PM ,14-Jul-2023 10:00 AM,25-Jul-2023 05:00 PM,"7,675",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper cost, EMD, Licence, GST, PAN, Affidavit , Schedule-A , machinery etc.","4,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2185538,BIBHUTI BHUSAN NAIK,25-Jul-2023 12:32 PM,Rejected-AOC,Lowest,29-Dec-2023 08:36 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2183575,DEELIP KUMAR SARANGI,23-Jul-2023 09:47 AM,Rejected-Technical,Minimum requirement of T and P invoice not submitted,16-Sep-2023 01:19 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2185964,Kailash Kumar Agrawal,25-Jul-2023 04:14 PM,Rejected-AOC,Lowest,29-Dec-2023 08:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2184006,PRADEEP KUMAR SAHOO,24-Jul-2023 07:51 PM,Accepted-AOC,1st Lowest,29-Dec-2023 08:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
