Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Er Abhimanyu Das,Internal,,Santosh Kumar Sahoo,15-Dec-2023 12:16 PM,techsummary_463951.pdf (1185.87 KB),1,2279461,M/s. Mahalaxmi Electricals and Associates,07-Oct-2023 04:15 PM,Rejected-Finance,Due to L2,15-Dec-2023 12:20 PM,Finance,2Nos. Bid Taken n to Technical Evaluation,Santosh Kumar Sahoo,15-Dec-2023 12:14 PM,finance_463951.pdf,BOQ Comparative Chart,Rural Water Supply and Sanitation||RWSS Circle Cuttack||RWSS Division Cuttack,2023_RWSS_94743_2,rwssctc- 05 /2023-24,"Installation of 25 KVA, 11/0.4KV DP mounted sub-station along with construction of 11 KV line for Power supply to PWS to Badamulei under Kantapada Block .",Er Abhimanyu Das,Internal,,Santosh Kumar Sahoo,15-Dec-2023 12:21 PM,finsummary_463951.pdf (1715.52 KB),1.0,2279123.0,"M/s. M R S INFRASTRUCTURE AND ENGINEERING PVT LTD, Prop. Mukesh Ram",INR,"1,172,720",15-Dec-2023,"INR 1,172,720",60.0,Santosh Kumar Sahoo,15-Dec-2023 12:24 PM,Badam3.pdf (1315.00 KB),AOC,1,ICICI BANK,1.0,1st Corrigendum Notice,Other,,27-Sep-2023 11:00 AM,09-Oct-2023 11:30 AM,27-Sep-2023 11:00 AM,07-Oct-2023 05:00 PM,27-Sep-2023 11:00 AM ,06-Oct-2023 05:00 PM ,27-Sep-2023 11:00 AM,07-Oct-2023 05:00 PM,"Executive Engineer, RWSS Division, Cuttack","Executive Engineer, RWSS Division, Cuttack","Installation of 25 KVA, 11/0.4KV DP mounted sub-station along with construction of 11 KV line for Power supply to PWS to Badamulei under Kantapada Block .","Installation of 25 KVA, 11/0.4KV DP mounted sub-station along with construction of 11 KV line for Power supply to PWS to Badamulei under Kantapada Block .",Please refer Tender documents. ,NA ,"10,96,000",Electrical Works,NA ,Tender,90.0,60.0,Cuttack,753004.0,NA ,NA ,NA ,"O/O Executive Engineer, RWSS Division, Cuttack",No ,No,"6,000",0.0,Nil,Nil,No,"11,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,Rural Water Supply and Sanitation||RWSS Circle Cuttack||RWSS Division Cuttack,rwssctc- 05 /2023-24,2023_RWSS_94743_2,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,2,2279123,"M/s. M R S INFRASTRUCTURE AND ENGINEERING PVT LTD, Prop. Mukesh Ram",07-Oct-2023 04:27 PM,Accepted-AOC,L1,15-Dec-2023 12:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,,,,,,,,,,,,,AOC
