Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"6,000",Nil,Nil,No,Superintending Engineer,"O/o the SE, Salandi Canal Division, Bhadrak","41,800",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, Registration Certificate",17-Aug-2023 11:00 AM,01-Sep-2023 11:00 AM,17-Aug-2023 11:00 AM,31-Aug-2023 05:00 PM,17-Aug-2023 11:00 AM ,23-Aug-2023 05:00 PM ,17-Aug-2023 11:00 AM,31-Aug-2023 05:00 PM,"(3) Construction of E-Type quarter for Salandi Irrigation Sub-Division No.I, Ria-Markona.",Construction of E-Type quarter,Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,90.0,180.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o the SE, Salandi Canal Division, Bhadrak",No ,No,1.0,ICICI BANK,CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||SE Salandi Canal Division Bhadrak,e-Procurement Notice No.2 / 2023-24,2023_SCDBH_92423_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,"Superintending Engineer, Salandi Canal Division",Internal,"Estimator and DAO, Salandi Canal Division",PRASANTA KUMAR PATEL,18-Oct-2023 04:10 PM,techsummary_448692.pdf (209.29 KB),CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||SE Salandi Canal Division Bhadrak,2023_SCDBH_92423_2,e-Procurement Notice No.2 / 2023-24,"(3) Construction of E-Type quarter for Salandi Irrigation Sub-Division No.I, Ria-Markona.",1.0,2207363.0,BIRANCHI NARAYAN MOHANTY,INR,"3,550,660",1,2226059,Aditya Kumar Mohapatra,31-Aug-2023 10:21 AM,Rejected-Finance,Did not win the lottery,18-Oct-2023 04:43 PM,08-Dec-2023,"INR 3,550,660",180.0,PRASANTA KUMAR PATEL,08-Dec-2023 01:35 PM,3.pdf (340.00 KB),Work Awarded,"Superintending Engineer, Salandi Canal Division",Internal,"Estimator and DAO, Salandi Canal Division",PRASANTA KUMAR PATEL,18-Oct-2023 04:43 PM,finsummary_448692.pdf (396.61 KB),Finance,Tender documents of all the bidders have been downloaded successfully.,PRASANTA KUMAR PATEL,01-Sep-2023 03:28 PM,finance_448692.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,.pdf,"Affidavit, No Relation Certificate, undertakings, any other document as per SBD/DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2,2224566,AJAY KUMAR PALITA,30-Aug-2023 11:42 AM,Rejected-Finance,Did not win the lottery,18-Oct-2023 04:43 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,3,2221306,ANASUYA NAYAK,29-Aug-2023 06:22 PM,Rejected-Finance,Did not win the lottery,18-Oct-2023 04:43 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,4,2207363,BIRANCHI NARAYAN MOHANTY,25-Aug-2023 07:07 AM,Accepted-AOC,Won the lottery,08-Dec-2023 01:35 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,5,2222347,CHANDRAKANTA PANDA,29-Aug-2023 10:17 AM,Rejected-Finance,Did not win the lottery,18-Oct-2023 04:43 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,6,2227158,Jnanendra Prasad Barik,31-Aug-2023 03:21 PM,Rejected-Finance,Did not win the lottery,18-Oct-2023 04:43 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,7,2207215,KUMAR GOURAB MAHARANA,19-Aug-2023 04:18 PM,Rejected-Finance,Did not win the lottery,18-Oct-2023 04:43 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,8,2223409,MAKARADHAR PALEI (S.C),29-Aug-2023 02:09 PM,Rejected-Finance,Due to L2,18-Oct-2023 04:43 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,9,2226908,MIHIR RANJAN MOHANTY,31-Aug-2023 01:58 PM,Rejected-Finance,Did not win the lottery,18-Oct-2023 04:43 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,10,2225339,MIR JAHIRUL ISLAM,30-Aug-2023 06:44 PM,Rejected-Finance,Did not win the lottery,18-Oct-2023 04:43 PM,,,,,,,,,,,,,,,,,,,,AOC
