Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
Construction of Road from Naikguda to Jharigam Block Boundary in the Districts of Nabarangpur under CMRL for the year 2022-23.,Construction of Road from Naikguda to Jharigam Block Boundary in the Districts of Nabarangpur under CMRL for the year 2022-23.,N.A. ,NA ,"4,03,08,000",Civil Works - Roads,NA ,Tender,90.0,334.0,UMERKOTE,764073.0,NA ,NA ,NA ,"C.C.E, Rural Works Circle, Sunabeda",No ,No,1.0,2nd corrigendum,Date,,Chief Construction Engineer,"Rural Works Circle, Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput","10,000",0.0,Nil,Nil,No,01-Mar-2023 11:00 AM,29-Mar-2023 11:00 AM,01-Mar-2023 11:00 AM,28-Mar-2023 05:30 PM,01-Mar-2023 11:00 AM ,27-Mar-2023 02:00 PM ,01-Mar-2023 11:00 AM,28-Mar-2023 05:30 PM,02-May-2023 11:00 AM,"4,03,100",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD-Online-51/2022-23,2023_CERWI_86597_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate",AOC,CE RW I||RWCIRCLE-SUNABEDA,2023_CERWI_86597_4,CCERWCSBD-Online-51/2022-23,Construction of Road from Naikguda to Jharigam Block Boundary in the Districts of Nabarangpur under CMRL for the year 2022-23.,1.0,2095452.0,Gopal Haldar,INR,"34,265,509.44","Chief Construction Engineer Sunabeda R.W.Circle, Sunabeda",Internal,"Executive Engineer, DAO, Estimator of Rural Works Division, Umerkote Estimator R.W. Circle Sunabeda",Sridhara Nayak,26-Apr-2023 07:58 AM,02-May-2023 11:00 AM,techsummary_430244.pdf (589.04 KB),03-Jun-2023,"INR 40,307,621.97",334.0,Chudamani Gouda,03-Jun-2023 02:18 PM,AOC-NAIKGUDA.pdf (400.00 KB),Award of contract of Sri Gopal Haldar through transparency lottery system,"Chief Construction Engineer Sunabeda R.W.Circle, Sunabeda",Internal,"Executive Engineer, DAO, Estimator of Rural Works Division-II, Nabarangpur at Umerkote and Estimator R.W. Circle Sunabeda",Chudamani Gouda,03-Jun-2023 02:17 PM,finsummary_430244.pdf (851.23 KB),Technical,bidders list,Sridhara Nayak,26-Apr-2023 07:53 AM,technical_430244.pdf,1,2100658,Akbar Ali,26-Mar-2023 01:46 PM,Rejected-Technical,Disqualified,26-Apr-2023 07:58 AM,Finance,CS,Chudamani Gouda,03-Jun-2023 02:02 PM,finance_430244.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,"Annual Turn over certificate from CA, Similar nature of Work Certificate",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2100444,CHANDRA SEKHAR JENA,18-Mar-2023 03:09 PM,Rejected-AOC,Reject,03-Jun-2023 02:20 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and other documents as per DTCN,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2105501,DASARATH GOND,28-Mar-2023 10:17 AM,Rejected-AOC,Reject,03-Jun-2023 02:20 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2104309,DHANESWAR SAHU,28-Mar-2023 12:35 PM,Rejected-AOC,Reject,03-Jun-2023 02:20 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2095452,Gopal Haldar,18-Mar-2023 04:18 PM,Accepted-AOC,Award of contract of Sri Gopal Haldar through transparency lottery system,03-Jun-2023 02:20 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2100213,NIRANJAN PADHI,17-Mar-2023 11:03 PM,Rejected-AOC,Reject,03-Jun-2023 02:20 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2105898,RANJIT CONSTRUCTION,28-Mar-2023 02:59 PM,Rejected-AOC,Reject,03-Jun-2023 02:20 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2105618,RASMITA SWAIN,28-Mar-2023 03:54 PM,Rejected-AOC,Reject,03-Jun-2023 02:20 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2099572,SANGRAM KESHARI NAYAK,20-Mar-2023 10:33 AM,Rejected-AOC,Reject,03-Jun-2023 02:20 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2104919,SOMANATH PANI,27-Mar-2023 05:49 PM,Rejected-AOC,Reject,03-Jun-2023 02:20 PM,,,,,,,AOC
