Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,2 bids opened successfully,Goutam Chandra Das,11-Apr-2023 01:16 PM,finance_431746.pdf,BOQ Comparative Chart,1.0,2110361.0,SAMARJIT PATTNAIK,INR,"3,676,437",Municipal Bodies||Bhubaneswar Municipal Corporation,2023_ORULB_87126_25,BMC-EE-DD-11/2022-23 dtd.20.03.2023,Construction of RCC Drain from HIG 95 to 88 and from 64 to 61 of Kapila prasad ward no-67,Superintending Engineer,Internal,"SE DRAINAGE,AEE DRAINAGE,AE DRAINAGE,HEAD ASSISTANT",Ramachandra Dasmohapatra,01-Jun-2023 12:21 PM,finsummary_431746.pdf (104.88 KB),Superintending Engineer,Internal,"SE DRAINAGE,AEE DRAINAGE,AE DRAINAGE,HEAD ASSISTANT",Ramachandra Dasmohapatra,01-Jun-2023 12:18 PM,techsummary_431746.pdf (104.88 KB),01-Jun-2023,"INR 3,676,437",90.0,Ramachandra Dasmohapatra,01-Jun-2023 12:24 PM,WO-466.22.pdf (300.00 KB),1,2110361,SAMARJIT PATTNAIK,07-Apr-2023 02:11 PM,Accepted-AOC,1st lowest,01-Jun-2023 12:25 PM,AOC,Superintending Engineer,"Superintending Engineer, Drainage Division, BMC",Construction of RCC Drain from HIG 95 to 88 and from 64 to 61 of Kapila prasad ward no-67,Construction of RCC Drain from HIG 95 to 88 and from 64 to 61 of Kapila prasad ward no-67,As per DTCN ,NA ,"29,70,091",Civil Works - Others,NA ,Tender,120.0,90.0,BMC Limited Area,751007.0,NA ,NA ,NA ,"Drainage Division, BMC",No ,No,"6,000",0.0,Nil,Nil,No,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-DD-11/2022-23 dtd.20.03.2023,2023_ORULB_87126_25,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,Scan Copy of all document,23-Mar-2023 10:30 AM,11-Apr-2023 11:00 AM,23-Mar-2023 10:30 AM,10-Apr-2023 05:00 PM,NA ,NA ,23-Mar-2023 10:30 AM,10-Apr-2023 05:00 PM,"29,701",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2110370,SATYARANJAN MAHARI,08-Apr-2023 11:58 AM,Rejected-AOC,other than 1st lowest,01-Jun-2023 12:25 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,AOC
