S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1,ICICI BANK,Superintending Engineer,"Superintending Engineer Drainage Division,BMC",04-Apr-2023 10:30 AM,19-Apr-2023 11:00 AM,04-Apr-2023 10:30 AM,18-Apr-2023 05:00 PM,NA ,NA ,04-Apr-2023 10:30 AM,18-Apr-2023 05:00 PM,Providing RCC Pre-cast Slabs to open drains at different vulnerable location in Ward No-24 of BMC,Providing RCC Pre-cast Slabs to open drains at different vulnerable location in Ward No-24 of BMC,Please refer Tender documents. ,NA ,"14,54,611",Civil Works - Others,NA ,Tender,120.0,90.0,BMC AREA LIMITED,751007.0,NA ,NA ,NA ,"Superintending Engineer Chamber,BMC",No ,No,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,SCAN COPY OF ALL DOCUMENTS,"14,546",Yes,percentage,1.0%,Nil,Nil,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-DD-13/2022-23 dtd. 28.03.2023,2023_ORULB_87370_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,Municipal Bodies||Bhubaneswar Municipal Corporation,2023_ORULB_87370_8,BMC-EE-DD-13/2022-23 dtd. 28.03.2023,Providing RCC Pre-cast Slabs to open drains at different vulnerable location in Ward No-24 of BMC,1.0,2115014.0,ANJAN KUMAR DAS,INR,"1,800,548",Superintending Engineer,Internal,"SE DRAINAGE,AEE DRAINAGE,AE DRAINAGE,HEAD ASSISTANT",Kalpana Maharathy,19-Jun-2023 02:55 PM,techsummary_432785.pdf (104.90 KB),Superintending Engineer,Internal,"SE DRAINAGE,AEE DRAINAGE,AE DRAINAGE,HEAD ASSISTANT",Kalpana Maharathy,19-Jun-2023 02:59 PM,finsummary_432785.pdf (104.90 KB),Finance,2 bids opened successfully,Goutam Chandra Das,19-Apr-2023 12:54 PM,finance_432785.pdf,BOQ Comparative Chart,19-Jun-2023,"INR 1,800,548",90.0,Kalpana Maharathy,19-Jun-2023 03:07 PM,WO-77.23.pdf (315.00 KB),1,2111286,AMARENDRA PRASAD SAHOO,18-Apr-2023 12:20 PM,Rejected-Finance,Other than 1ST lowest,19-Jun-2023 02:59 PM,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2115014,ANJAN KUMAR DAS,17-Apr-2023 01:22 PM,Accepted-AOC,1st lowest,19-Jun-2023 03:08 PM,AOC
