S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
1.0,2117921.0,JAJNESWAR NAIK,INR,"1,332,507",Municipal Bodies||Kamakhyanagar NAC,2023_ORULB_87756_1,01/2023-24,"Construction of Ground Floor Market Complex Building in front of Narahari Panda Clinic in W NO -06 , Kamakhyanagar NAC",EO,Internal,,Birendra Kumar Behera,17-Jun-2023 12:19 PM,techsummary_433701.pdf (182.88 KB),Finance,OPENING SUCESSFULLY,Birendra Kumar Behera,21-Apr-2023 09:54 AM,,BOQ Comparative Chart,EO,Internal,,Birendra Kumar Behera,17-Jun-2023 12:28 PM,finsummary_433701.pdf (182.88 KB),17-Jun-2023,"INR 1,332,507",90.0,Birendra Kumar Behera,17-Jun-2023 12:29 PM,IMG_20230617_0001.pdf (183.00 KB),DUE TO L1 IN LOTTERY,1,2117921,JAJNESWAR NAIK,20-Apr-2023 02:48 PM,Accepted-AOC,DUE TO L1 IN LOTTERY,17-Jun-2023 12:30 PM,AOC,1,ICICI BANK,"Construction of Ground Floor Market Complex Building in front of Narahari Panda Clinic in W NO -06 , Kamakhyanagar NAC","Construction of Ground Floor Market Complex Building in front of Narahari Panda Clinic in W NO -06 , Kamakhyanagar NAC",Please refer Tender documents. ,NA ,"15,67,471",Civil Works - Others,NA ,Tender,90.0,90.0,Kamakhyanagar NAC,759018.0,NA ,NA ,NA ,Kamakhyanagar NAC,No ,No,12-Apr-2023 10:00 AM,21-Apr-2023 09:00 AM,12-Apr-2023 10:00 AM,20-Apr-2023 05:00 PM,NA ,NA ,12-Apr-2023 10:00 AM,20-Apr-2023 05:00 PM,"6,000",0.0,Nil,Nil,No,"EXECUTIVE OFFICER, Kamakhyanagar NAC",Kamakhyanagar NAC,"15,675",Yes,percentage,1.0%,Nil,Nil,Municipal Bodies||Kamakhyanagar NAC,01/2023-24,2023_ORULB_87756_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2117426,NETRANANDA SAHOO,20-Apr-2023 04:10 PM,Rejected-Finance,NOT L1 IN LOTTERY,17-Jun-2023 12:28 PM,AOC,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
