Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Superintending Engineer,"Superintending Engineer, Drainage Division, BMC","4,000",0.0,Nil,Nil,No,Construction of RCC Drain with cover slab at Nua sahi 8th lane in ward no-39,Construction of RCC Drain with cover slab at Nua sahi 8th lane in ward no-39,As per DTCN ,NA ,"8,02,542",Civil Works - Others,NA ,Tender,120.0,90.0,BMC Limited Area,751007.0,NA ,NA ,NA ,"Drainage Division, BMC",No ,No,1.0,ICICI BANK,"8,025",Yes,percentage,1.0%,Nil,Nil,23-Mar-2023 10:30 AM,11-Apr-2023 11:00 AM,23-Mar-2023 10:30 AM,10-Apr-2023 05:00 PM,NA ,NA ,23-Mar-2023 10:30 AM,10-Apr-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Scan Copy of all document,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-DD-11/2022-23 dtd.20.03.2023,2023_ORULB_87126_16,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,01-Jun-2023,"INR 899,745",90.0,Ramachandra Dasmohapatra,01-Jun-2023 01:12 PM,WO-43.23.pdf (309.00 KB),1,2111747,Akash Pradhan,10-Apr-2023 04:46 PM,Rejected-Finance,Other than 1st lowest,03-May-2023 01:40 PM,Superintending Engineer,Internal,"SE DRAINAGE,AEE DRAINAGE,AE DRAINAGE,HEAD ASSISTANT",Goutam Chandra Das,03-May-2023 01:35 PM,techsummary_431727.pdf (111.44 KB),Superintending Engineer,Internal,"SE DRAINAGE,AEE DRAINAGE,AE DRAINAGE,HEAD ASSISTANT",Goutam Chandra Das,03-May-2023 01:40 PM,finsummary_431727.pdf (111.44 KB),Municipal Bodies||Bhubaneswar Municipal Corporation,2023_ORULB_87126_16,BMC-EE-DD-11/2022-23 dtd.20.03.2023,Construction of RCC Drain with cover slab at Nua sahi 8th lane in ward no-39,1.0,2109477.0,BISWANATH BAUT,INR,"899,745",Finance,5 bids opened successfully,Goutam Chandra Das,11-Apr-2023 03:00 PM,finance_431727.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,AOC,,,,,,,2,2111024,ANIT KUMAR NAIK,09-Apr-2023 08:26 PM,Rejected-Finance,Other than 1st lowest,03-May-2023 01:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,2109477,BISWANATH BAUT,05-Apr-2023 07:17 PM,Accepted-AOC,1st lowest,01-Jun-2023 01:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,2111503,HIMANSU SEKHAR PRADHAN,10-Apr-2023 01:52 PM,Rejected-Finance,Other than 1st lowest,03-May-2023 01:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,2111687,SAROJ KUMAR SAHOO,10-Apr-2023 04:51 PM,Rejected-Finance,Other than 1st lowest,03-May-2023 01:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
