Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Construction of Road from Kanasara to PWD road under CMRL in the district of Dhenkanal for the year 2022-23.,Construction of Road from Kanasara to PWD road under CMRL in the district of Dhenkanal for the year 2022-23.,Please refer Tender documents. ,NA ,"3,23,19,000",Civil Works - Roads,NA ,Tender,90.0,270.0,Dhenkanal,759013.0,NA ,NA ,NA ,"Office of the C.C.E,R.W.Circle,Angul",No ,No,"3,23,190",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-ANGUL,Road Online-AGL-21/2022-23,2023_CERWI_86797_7,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,13-Mar-2023 01:30 PM,21-Mar-2023 11:00 AM,13-Mar-2023 01:30 PM,20-Mar-2023 05:00 PM,13-Mar-2023 01:30 PM ,17-Mar-2023 01:00 PM ,13-Mar-2023 01:30 PM,20-Mar-2023 05:00 PM,29-Mar-2023 04:00 PM,1.0,Corrigendum,Other,,"10,000",0.0,Nil,Nil,No,"Chief Construction Engineer R.W.Circle,Angul",At-Hakimpada Po-Hakimpada District- Angul,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, EMD one percentage of the estimated cost,GST,PAN,RC,Affidavit regarding correctness",AOC,Debashis Padhi,Internal,"E.E, DAO,Estimator",Debashis Padhi,27-Mar-2023 11:49 AM,29-Mar-2023 04:00 PM,techsummary_431036.pdf (122.10 KB),CE RW I||RWCIRCLE-ANGUL,2023_CERWI_86797_7,Road Online-AGL-21/2022-23,Construction of Road from Kanasara to PWD road under CMRL in the district of Dhenkanal for the year 2022-23.,1.0,2100352.0,GOPALA CONSTRUCTION,INR,"27,473,653",Finance,Four Bidders found,Sasmita Das,15-Apr-2023 10:15 AM,finance_431036.pdf,BOQ Comparative Chart,Technical,four nos. of bidders found,Hrudanand Panda,21-Mar-2023 12:07 PM,,1,2100204,ABHAYA KUMAR SAHOO,19-Mar-2023 09:22 AM,Rejected-AOC,0,09-Jun-2023 11:31 AM,Chief Construction Engineer,Internal,E.E DAO Estimator,Debashis Padhi,09-Jun-2023 11:29 AM,finsummary_431036.pdf (90.09 KB),09-Jun-2023,"INR 27,473,653",270.0,Debashis Padhi,09-Jun-2023 11:30 AM,Kansara.pdf (90.00 KB),Return of E.M.D,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Labour licence,Similar nature of work,Work in hand,Annual Turn Over,No relation certificate",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2100352,GOPALA CONSTRUCTION,19-Mar-2023 02:13 PM,Accepted-AOC,Winner oflottery,09-Jun-2023 11:31 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery own obtained on hire, Balance sheet Bidder Contact address and other documents as per DTCN",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2100900,MANAS RANJAN ROUT,20-Mar-2023 04:50 PM,Rejected-AOC,0,09-Jun-2023 11:31 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantities in xls sheet,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2100922,M/S PRADHAN CONSTRUCTION.,20-Mar-2023 10:26 AM,Rejected-AOC,0,09-Jun-2023 11:31 AM,,,,,,,,,,,,,,AOC
