Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage
Superintending Engineer Kendrapara Irrigation Division,Internal,Estimator and DAO Kendrapara Irrigation Division,Umesh Chandra Sethi,24-Apr-2023 08:59 PM,techsummary_431612.pdf (210.21 KB),10-Jun-2023,"INR 1,878,736",90.0,Umesh Chandra Sethi,11-Jun-2023 06:51 PM,190.pdf (593.00 KB),Contract Awarded,1,2106085,ABHAYA KUMAR DAS,28-Mar-2023 05:15 PM,Rejected-Finance,Did not win the lottery,25-Apr-2023 03:10 PM,Finance,Tender documents of all the bidders have been downloaded successfully.,Umesh Chandra Sethi,31-Mar-2023 08:49 PM,finance_431612.pdf,BOQ Comparative Chart,1.0,2106231.0,PRASANT KUMAR MOHARANA,INR,"1,878,736",CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE,2023_ECCHA_87110_24,e-Procurement Notice No.KID-06 of 2022-23,KID-190 of 2022-23 Repair and construction of structures of disty.no.14 of P.Canal.,"Superintending Engineer, Kendrapara Irrigation Division",Internal,"Estimator and DAO, Kendrapara Irrigation Division",Umesh Chandra Sethi,25-Apr-2023 03:10 PM,finsummary_431612.pdf (164.93 KB),AOC,"6,000",Nil,Nil,No,Superintending Engineer,"O/o the SE, Kendrapara Irr. Division, Kendrapara","19,000",Yes,fixed,,Nil,Nil,KID-190 of 2022-23 Repair and construction of structures of disty.no.14 of P.Canal.,Canal work,Please refer Tender documents. ,NA ,,Civil Works - Canal,NA ,Tender,90.0,90.0,Kendrapara,754211.0,NA ,NA ,NA ,"O/o the SE, Kendrapara Irr. Division, Kendrapara",No ,No,20-Mar-2023 10:00 AM,31-Mar-2023 11:00 AM,20-Mar-2023 10:00 AM,29-Mar-2023 05:00 PM,20-Mar-2023 10:00 AM ,25-Mar-2023 05:00 PM ,20-Mar-2023 10:00 AM,29-Mar-2023 05:00 PM,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE,e-Procurement Notice No.KID-06 of 2022-23,2023_ECCHA_87110_24,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"GSTIN, PAN, Contractor Registration Certificate",1.0,ICICI BANK,AOC
,,,,,,,,,,,,,2,2102808,Anirudha Panda,24-Mar-2023 10:55 PM,Rejected-Finance,Did not win the lottery,25-Apr-2023 03:10 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavits, No Relation Certificate, undertakings and any other document as per SBD/DTCN",2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,3,2104077,BHAGABAT MALLIK,28-Mar-2023 11:48 AM,Rejected-Finance,Did not win the lottery,25-Apr-2023 03:10 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,AOC
,,,,,,,,,,,,,4,2104547,Chitta Ranjan Swain,27-Mar-2023 10:38 PM,Rejected-Finance,Did not win the lottery,25-Apr-2023 03:10 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,2105019,HEMANT KUMAR BISWAL,27-Mar-2023 06:00 PM,Rejected-Finance,Did not win the lottery,25-Apr-2023 03:10 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,2103468,JADUNATH BEHERA,27-Mar-2023 10:59 PM,Rejected-Finance,Did not win the lottery,25-Apr-2023 03:10 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,2105755,MANOJ KUMAR PATI,29-Mar-2023 02:44 PM,Rejected-Finance,Did not win the lottery,25-Apr-2023 03:10 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,2106393,Mr. Anjan Kumar Rout,28-Mar-2023 09:30 PM,Rejected-Finance,Did not win the lottery,25-Apr-2023 03:10 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,2103436,Natabar Dalai,28-Mar-2023 11:55 AM,Rejected-Finance,Did not win the lottery,25-Apr-2023 03:10 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,2106231,PRASANT KUMAR MOHARANA,28-Mar-2023 09:24 PM,Accepted-AOC,Won the lottery,11-Jun-2023 06:51 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
