Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Kalahandi,2023_DZPK_87415_1,ZP- KLD-T- 5 /2022-23,"Const. Day care sub centre -cum-HWC at Lakhbahali, Lanjigarh","CDO-ccum-EO, Zilla Parishad, Kalahandi",Internal,,Sachin Prakash Pawar,26-Jun-2023 12:55 PM,finsummary_432887.pdf (138.30 KB),1.0,2110787.0,KAMDEV BEMAL,INR,"3,175,105",26-Jun-2023,"INR 3,175,105",180.0,Sachin Prakash Pawar,26-Jun-2023 12:56 PM,Lakhbahali.pdf (138.00 KB),"CDO-ccum-EO, Zilla Parishad, Kalahandi",Internal,,Sachin Prakash Pawar,26-Jun-2023 12:54 PM,techsummary_432887.pdf (138.30 KB),1.0,2111388.0,ADIKANDA BISWAL,10-Apr-2023 04:16 PM,Rejected-Technical,Disqualified,26-Jun-2023 12:54 PM,Finance,2 nos. bidders are applied,Sachin Prakash Pawar,11-Apr-2023 01:33 PM,,BOQ Comparative Chart,AOC,03-Apr-2023 11:00 AM,11-Apr-2023 11:00 AM,03-Apr-2023 11:00 AM,10-Apr-2023 05:00 PM,03-Apr-2023 11:00 AM ,08-Apr-2023 05:00 PM ,03-Apr-2023 11:00 AM,10-Apr-2023 05:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, GST, PAN","32,000",No,fixed,,Nil,Nil,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Kalahandi,ZP- KLD-T- 5 /2022-23,2023_DZPK_87415_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Const. Day care sub centre -cum-HWC at Lakhbahali, Lanjigarh",Building work,Please refer Tender documents. ,NA ,"31,91,060",Civil Works - Buildings,NA ,Tender,90.0,180.0,"O/o Zilla Parishad, Kalahandi, Bhawanipatna",766001.0,NA ,NA ,NA ,"O/o Zilla Parishad, Kalahandi, Bhawanipatna",No ,No,"CDO-cum-EO, Zilla Parishad, Kalahandi","O/o Zilla Parishad, Kalahandi, Bhawanipatna","6,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2110787.0,KAMDEV BEMAL,10-Apr-2023 07:48 AM,Accepted-AOC,qualified,26-Jun-2023 12:56 PM,,,,,,,AOC,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
