Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Gokula Chandra Padhi,Internal,,Gokula Chandra Padhi,26-May-2023 04:45 PM,techsummary_434261.pdf (99.08 KB),1.0,2118393.0,Pratap Chandra Pradhan,INR,"741,087","CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Bhanjanagar Irrigation Divn Bhanjanagar",2023_CEBMB_87890_5,e-procurement Notice No. e-BNID-01/2023-24,Restoration to LFB of river Rushikulya near Santoshimaa Mandir of village Padhala.,1,2121662,BIKRAM KUMAR PRADHAN,24-Apr-2023 11:20 PM,Rejected-AOC,Not Successful in Lottery,01-Jun-2023 07:55 PM,Finance,Eighteen (18) number of bidders are successful downloaded.,Anita Das,27-Apr-2023 01:17 PM,,BOQ Comparative Chart,Gokula Chandra Padhi,Internal,,Gokula Chandra Padhi,28-May-2023 12:40 PM,finsummary_434261.pdf (114.42 KB),01-Jun-2023,"INR 741,087",90.0,Gokula Chandra Padhi,01-Jun-2023 07:53 PM,AOC-05.PDF (112.00 KB),The date of commencement of the work is on dated 09.05.2023 and stipulated date of completion on dated 08.08.2023 vide Agreement No.18P1/2023-24.,AOC,1.0,ICICI BANK,"SE, Bhanjanagar Irr. Divn., Bhanjanagar","O/o the SE, Bhanjanagar Irr. Divn., Bhanjanagar, Pin No-761126","CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Bhanjanagar Irrigation Divn Bhanjanagar",e-procurement Notice No. e-BNID-01/2023-24,2023_CEBMB_87890_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost,Valid Register License of Contractor,PAN CARD, GSTIN,EMD","4,000",0.0,Nil,Nil,No,17-Apr-2023 10:00 AM,27-Apr-2023 11:00 AM,17-Apr-2023 10:00 AM,26-Apr-2023 05:00 PM,NA ,NA ,17-Apr-2023 10:00 AM,26-Apr-2023 05:00 PM,Restoration to LFB of river Rushikulya near Santoshimaa Mandir of village Padhala.,Restoration to LFB of river Rushikulya near Santoshimaa Mandir of village Padhala.,Please refer Tender documents. ,NA ,"8,71,765",Civil Works - Others,NA ,Tender,90.0,90.0,Aska,761110.0,NA ,NA ,NA ,"S.E., Bhanjanagar Irrigation Division, Bhanjanagar",No ,No,"8,800",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,2,2122546,Bimal Kumar Pradhan,25-Apr-2023 09:23 PM,Rejected-AOC,Not Successful in Lottery,01-Jun-2023 07:55 PM,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit,Other document as per DTCN.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2122945,DAITARI JENA,26-Apr-2023 04:17 PM,Rejected-AOC,Not Successful in Lottery,01-Jun-2023 07:55 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2121933,D. Pandaba Patro,25-Apr-2023 01:09 PM,Rejected-AOC,Not Successful in Lottery,01-Jun-2023 07:55 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2122388,KALU CHARAN JENA,25-Apr-2023 06:31 PM,Rejected-AOC,Not Successful in Lottery,01-Jun-2023 07:55 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2123213,Kanhu Charan Panda,26-Apr-2023 02:55 PM,Rejected-AOC,Not Successful in Lottery,01-Jun-2023 07:55 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2119030,Pabitra Kumar Muni,22-Apr-2023 03:03 PM,Rejected-AOC,Not Successful in Lottery,01-Jun-2023 07:55 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2118964,Pabitra Mohan Bisoyi,21-Apr-2023 09:06 PM,Rejected-AOC,Not Successful in Lottery,01-Jun-2023 07:55 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2118393,Pratap Chandra Pradhan,21-Apr-2023 10:46 AM,Accepted-AOC,Successful in Lottery,01-Jun-2023 07:55 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2119127,Rabindra Nath Raut,25-Apr-2023 10:32 AM,Rejected-AOC,Not Successful in Lottery,01-Jun-2023 07:55 PM,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
