S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,2126308.0,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,INR,"1,700,476",Finance,Total 02 nos bidders are Participated.,Sandeep Kumar,09-May-2023 11:50 AM,finance_434267.pdf,BOQ Comparative Chart,SUPERINTENDING ENGINEER,Internal,"DAO,ESTIMATOR",Sandeep Kumar,11-May-2023 12:43 PM,finsummary_434267.pdf (327.20 KB),"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE Mahanadi Barrage Division Cuttack",2023_CELBB_87881_10,e-procurement Notice No-01,Construction of Foot Bridge at Guali Mathasahi over Mahanadi Left Canal for the year 2023-24 (MBD10/2023-24),SUPERINTENDING ENGINEER,Internal,"DAO,ESTIMATOR",Sandeep Kumar,11-May-2023 11:28 AM,techsummary_434267.pdf (286.32 KB),1,2126302,M/s. ASHIRBAD INDUSTRIES Prp. PRAKASH CHANDRA LENKA,01-May-2023 10:06 AM,Rejected-AOC,being unsuccessful tenderer on lottery system,07-Jun-2023 01:05 PM,01-Jun-2023,"INR 1,700,476",180.0,Sandeep Kumar,07-Jun-2023 01:03 PM,MsBhagabatiIndustries.pdf (653.00 KB),Lottery Winner,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,TECHNICAL BID,"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE Mahanadi Barrage Division Cuttack",e-procurement Notice No-01,2023_CELBB_87881_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"20,005",Yes,fixed,,Nil,Nil,17-Apr-2023 10:00 AM,02-May-2023 11:30 AM,17-Apr-2023 10:00 AM,01-May-2023 05:00 PM,17-Apr-2023 10:00 AM ,01-May-2023 04:00 PM ,17-Apr-2023 10:00 AM,01-May-2023 05:00 PM,Construction of Foot Bridge at Guali Mathasahi over Mahanadi Left Canal for the year 2023-24 (MBD10/2023-24),Construction of Foot Bridge at Guali Mathasahi over Mahanadi Left Canal for the year 2023-24 (MBD10/2023-24),Please refer Tender documents. ,NA ,"20,00,325",Civil Works - Canal,NA ,Tender,90.0,180.0,"Superintending Engineer Mahanadi Barrage Division,",753003.0,NA ,NA ,NA ,"Superintending Engineer Mahanadi Barrage Division,",No ,No,"Superintending Engineer Mahanadi Barrage Division,","Superintending Engineer Mahanadi Barrage Division,",1,ICICI BANK,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2126308,M/s. BHAGABATI INDUSTRIES Prop. NIRANJAN PANDA,01-May-2023 10:01 AM,Accepted-AOC,Lottery Winner,07-Jun-2023 01:05 PM,,,,,,,,AOC,,,.xls,FINANCIAL BID (BILL OF QUANTITY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,AOC
