Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE,MI Divn, Jashipur",2023_CEMIB_85200_6,OIIPCRA-JAS/W2-3/2022-23,Modernisation to Virol MIP D/W in Karanjia Block under OIIPCRA 2022-23,1.0,2075887.0,SUBRAT KUMAR SAMAL,INR,"4,881,720.4",Er. shankar Prasad Kalamuri,Internal,,SHANKAR PRASAD KALMURI,19-Apr-2023 12:17 PM,19-Apr-2023 12:30 PM,techsummary_424763.pdf (694.70 KB),Er. Shankar Prasad Kalamuri,Internal,,SHANKAR PRASAD KALMURI,17-May-2023 01:03 PM,finsummary_424763.pdf (390.00 KB),17-May-2023,"INR 5,084,714.6",270.0,SHANKAR PRASAD KALMURI,07-Jun-2023 11:12 AM,VirolOIIPCRA.pdf (430.00 KB),Finance,Qualified,SHANKAR PRASAD KALMURI,03-May-2023 11:42 AM,,BOQ Comparative Chart,1,2073345,SRI SOUMENDU CHAKRA,09-Feb-2023 09:01 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,19-Apr-2023 12:12 PM,Technical,One bidder accepted and one rejected.,SHANKAR PRASAD KALMURI,19-Apr-2023 12:12 PM,,AOC,SE MI DIVISION Jashipur,O/o SE MI DIVISION Jashipur,0.0,0.0,Nil,Nil,No,Modernisation to Virol MIP D/W in Karanjia Block under OIIPCRA 2022-23,Modernisation to Virol MIP D/W in Karanjia Block under OIIPCRA 2022-23,As per DTCN ,NA ,"50,84,718",Civil Works - Canal,NA ,Tender,90.0,270.0,O/o SE MI DIVISION Jashipur,757091.0,O/o SE MI DIVISION Jashipur ,O/o SE MI DIVISION Jashipur ,13-Jan-2023 10:00 AM ,O/o SE MI DIVISION Jashipur,No ,No,1,ICICI BANK,"50,900",No,fixed,,Nil,Nil,1,Fee/PreQual/Technical,.pdf,RC GSTIN PAN AFFIDAVIT WORK EXPRIENCE TURNOVER CREDIT,13-Jan-2023 10:00 AM,10-Feb-2023 03:30 PM,13-Jan-2023 10:00 AM,10-Feb-2023 03:00 PM,13-Jan-2023 10:00 AM ,10-Feb-2023 03:00 PM ,13-Jan-2023 10:00 AM,10-Feb-2023 03:00 PM,19-Apr-2023 12:30 PM,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE,MI Divn, Jashipur",OIIPCRA-JAS/W2-3/2022-23,2023_CEMIB_85200_6,Yes,National Competitive Bid,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2075887,SUBRAT KUMAR SAMAL,10-Feb-2023 01:22 PM,Accepted-AOC,Qualified,07-Jun-2023 11:12 AM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC
