Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,Opening of financial bid for selection and appointment of level-ii tc for transportation of cmr from rrc to fps for Binka block and NAC for biennial 2023-25,Suresh Kumar Panigrahi,09-Jun-2023 08:11 PM,finance_433568.pdf,BOQ Comparative Chart,1,2118439,JHARANA MAHAKUR,24-Apr-2023 04:31 PM,Rejected-Finance,highestrare,09-Jun-2023 09:06 PM,Technical,FOUR NOS OF BIDDERS FOUND,Suresh Kumar Panigrahi,01-May-2023 09:34 AM,technical_433568.pdf,Collector and District Magistrate,Internal,"Collector and District Magistrate,ADM9General),DLO,DSWO,RTO,CSO-cum-DM",Suresh Kumar Panigrahi,09-Jun-2023 09:06 PM,finsummary_433568.pdf (256.37 KB),09-Jun-2023,"INR 4,302,427",730.0,Suresh Kumar Panigrahi,12-Jun-2023 12:21 PM,Proceeding.pdf (2582.00 KB),Award of Contract of Level-II Transport Contractor of Binka Block /NAC for the the biennial 2023-25 of Subarnapur District,"COLLECTOR,SUBARNAPUR",Internal,,Suresh Kumar Panigrahi,01-May-2023 09:51 AM,03-May-2023 11:00 AM,techsummary_433568.pdf (748.91 KB),Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Sonepur,2023_OSCSC_87695_1,2023_OSCSC_768/06.04.2023 Binka Block/ NAC,Selection and appointment of Level-II Transport Contractor of Binka Block /NAC for the FY 2023-25 of Subarnapur District,1.0,2118627.0,Phanindra Kumar Dash,INR,"4,302,427",AOC,"5,900",0.0,Nil,Nil,No,"2,15,121",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,NIT for appointment of Level-II Transport Contractor of Binka Block/NAC for FY 2023-25 of Subarnapur,Odisha State Civil Supplies Corp. Ltd.||CSO cum DM Sonepur,2023_OSCSC_768/06.04.2023 Binka Block/ NAC,2023_OSCSC_87695_1,Yes,Open Tender,Percentage,Services,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,11-Apr-2023 10:00 AM,25-Apr-2023 11:00 AM,11-Apr-2023 10:00 AM,24-Apr-2023 05:00 PM,11-Apr-2023 10:00 AM ,23-Apr-2023 05:00 PM ,11-Apr-2023 10:00 AM,24-Apr-2023 05:00 PM,03-May-2023 11:00 AM,"DM OSCSC Ltd,Subarnapur","OSCSC Ltd.,Subarnapur",Selection and appointment of Level-II Transport Contractor of Binka Block /NAC for the FY 2023-25 of Subarnapur District,Selection and appointment of Level-II Transport Contractor of Binka Block /NAC for the FY 2023-25 of Subarnapur District,Please refer tender document ,NA ,"43,02,427",Handling and Transportation,NA ,Tender,45.0,730.0,"Collectorate, Subarnapur",767017.0,"Collectorate, Subarnapur ","Conference Hall of Collectorate, Subarnapur ",12-Apr-2023 11:00 AM ,"Collectorate, Subarnapur",No ,No,AOC
,,,,,,2,2118624,Lalit Kumar Meher,22-Apr-2023 11:53 AM,Rejected-Finance,highest rate,09-Jun-2023 09:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,Finance,.xls,BOQ document,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,3,2118627,Phanindra Kumar Dash,23-Apr-2023 11:09 PM,Accepted-AOC,Awarded,12-Jun-2023 12:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,2118556,SAMIR KUMAR AGRAWAL,24-Apr-2023 04:24 PM,Rejected-Finance,highest rate,09-Jun-2023 09:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
