S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,OPENING DATE EXTENSION,Date,,1,Fee/PreQual/Technical,.pdf,"PAN card, Labour License and other documents as per DTCN",21-Apr-2023 11:00 AM,09-May-2023 09:00 AM,21-Apr-2023 11:00 AM,04-May-2023 05:00 PM,NA ,NA ,21-Apr-2023 11:00 AM,04-May-2023 05:00 PM,12-May-2023 09:40 AM,Municipal Bodies||Khordha Municipality,KMPLTY/ 02/2023-24,2023_ORULB_88116_34,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Improvement road from Abhiram Sahu House to Nirupama Sahu At Surya Nagar in ward No 16,Improvement road from Abhiram Sahu House to Nirupama Sahu At Surya Nagar in ward No 16,Please refer Tender documents. ,NA ,"4,23,683",Civil Works - Roads,NA ,Tender,120.0,30.0,KHORDHA MUNICIPALITY,752055.0,NA ,NA ,NA ,KHORDHA MUNICIPALITY OFFICE,No ,No,"2,000",0.0,Nil,Nil,No,"4,237",Yes,percentage,1.0%,Nil,Nil,1,ICICI BANK,EXECUTIVE OFFICER KHORDHA MUNICIPALITY,EXECUTIVE OFFICER KHORDHA MUNICIPALITY,AOC,1,2129732,BINITA NATH,04-May-2023 10:47 AM,Accepted-AOC,DUE TO L1,17-Jun-2023 04:38 PM,17-Jun-2023,"INR 499,946",60.0,Rizwana Kawkab,17-Jun-2023 04:37 PM,IMG_20230617_0007.pdf (552.00 KB),Finance,OK,Rizwana Kawkab,12-May-2023 10:12 AM,,BOQ Comparative Chart,KANAKALAXMI MOHANTY,Internal,,Rizwana Kawkab,12-May-2023 09:38 AM,12-May-2023 09:40 AM,techsummary_435067.pdf (522.34 KB),KANAKALAXMI MOHANTY,Internal,,Rizwana Kawkab,17-Jun-2023 04:36 PM,finsummary_435067.pdf (375.98 KB),Technical,OPENED,Nihar Ranjan Sahu,09-May-2023 10:48 AM,technical_435067.pdf,Municipal Bodies||Khordha Municipality,2023_ORULB_88116_34,KMPLTY/ 02/2023-24,Improvement road from Abhiram Sahu House to Nirupama Sahu At Surya Nagar in ward No 16,1.0,2129732.0,BINITA NATH,INR,"499,946",AOC
,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,AOC,2,2129966,M/S-SANTOSH KUMAR MOHANTY,04-May-2023 03:48 PM,Rejected-Finance,DUE TO L2,17-Jun-2023 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
