Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"S.E, Angul Irr. Divn. Angul","O.O the S.E, Angul Irr. Divn. Angul, At/P.O- Hakimpada, Dist-Angul",CE and BM Brahmani Basin Samal||SE Angul Irrigation Circle Angul||EE Angul Irrigation Division Angul,SE-AID-1/2023-24,2023_CEBBS_88984_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"7,700",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Desilting of canal bed of Belpunji Branch Canal and Belpunji Distributary of L.M.C. of Manjore Irrigation Project..,Desilting of canal bed of Belpunji Branch Canal and Belpunji Distributary of L.M.C. of Manjore Irrigation Project.,NA ,NA ,,Civil Works - Canal,Canal works ,Tender,90.0,30.0,Angul,759143.0,NA ,NA ,NA ,"O.O the S.E, Angul Irr. Divn. Angul",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"GSTIN, PAN, Contractor R.C, Registered under CDMS portal.",15-May-2023 10:00 AM,25-May-2023 11:00 AM,15-May-2023 10:00 AM,24-May-2023 05:00 PM,15-May-2023 10:00 AM ,20-May-2023 05:00 PM ,15-May-2023 10:00 AM,24-May-2023 05:00 PM,"4,000",Nil,Nil,No,AOC,Superintending Engineer,Internal,"DAO, Estimator",Subrat Kumar Nayak,07-Jun-2023 11:03 AM,techsummary_437802.pdf (212.94 KB),1.0,2143550.0,RATAN KUMAR RATH,INR,"649,133",CE and BM Brahmani Basin Samal||SE Angul Irrigation Circle Angul||EE Angul Irrigation Division Angul,2023_CEBBS_88984_4,SE-AID-1/2023-24,Desilting of canal bed of Belpunji Branch Canal and Belpunji Distributary of L.M.C. of Manjore Irrigation Project..,1,2144481,Ajit Kumar Acharya,22-May-2023 07:49 PM,Rejected-Finance,Not won in the transparent lottery system,07-Jun-2023 11:13 AM,07-Jun-2023,"INR 649,133",30.0,Subrat Kumar Nayak,09-Jun-2023 10:46 AM,1.4WORatanKumarRath.pdf (1296.00 KB),Winner in the transparent lottery system.,Superintending Engineer,Internal,"DAO, Estimator",Subrat Kumar Nayak,07-Jun-2023 11:13 AM,finsummary_437802.pdf (455.91 KB),Finance,Bid documents of all the bidders have been downloaded successfully,Subrat Kumar Nayak,26-May-2023 11:36 AM,finance_437802.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavits, undertakings and any other document as per SBD/DTCN.",,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2,2145470,ANCHAL AGRAWAL,24-May-2023 12:32 PM,Rejected-Finance,Not won in the transparent lottery system,07-Jun-2023 11:13 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,3,2145611,ASHOK KUMAR MAHAKUD,24-May-2023 01:39 PM,Rejected-Finance,Not won in the transparent lottery system,07-Jun-2023 11:13 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,4,2145636,BAPUJI KUMAR SAHOO,24-May-2023 02:41 PM,Rejected-Finance,Not won in the transparent lottery system,07-Jun-2023 11:13 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,5,2145638,BISWAMBHAR BEHERA (SC),24-May-2023 02:14 PM,Rejected-Finance,Not won in the transparent lottery system,07-Jun-2023 11:13 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,6,2145768,BRUNDABAN URMA,24-May-2023 04:46 PM,Rejected-Finance,Not won in the transparent lottery system,07-Jun-2023 11:13 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,7,2145504,Jayanta Meher,24-May-2023 01:00 PM,Rejected-Finance,Not won in the transparent lottery system,07-Jun-2023 11:13 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,8,2144641,KAMAL KUMAR GOENKA,23-May-2023 10:37 AM,Rejected-Finance,Not won in the transparent lottery system,07-Jun-2023 11:13 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,9,2145162,PADMALOCHAN PRADHAN,24-May-2023 10:59 AM,Rejected-Finance,Not won in the transparent lottery system,07-Jun-2023 11:13 AM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,10,2145196,PRADYUMNA PRADHAN,23-May-2023 10:36 PM,Rejected-Finance,Not won in the transparent lottery system,07-Jun-2023 11:13 AM,,,,,,,,,,,,,,,,,,,,AOC
