Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Block Development Officer,Internal,"BDO, AEE, Accounts Officer",Subadar Pradhan,14-Mar-2023 08:43 AM,techsummary_429709.pdf (153.97 KB),Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Nuapada||NUAPADA Block,2023_PRNPA_86449_1,e-Procurement Notice No- PSN-01/2022-23,"Construction of Day Care SC Cum HWC at Maraguda, Kermeli GP,Nuapada",1.0,2096642.0,M/s.PRASHANT CHANDRAKAR,INR,"2,651,965",1,2096057,LALMAT MAJHI,07-Mar-2023 11:08 AM,Rejected-Technical,Technical bid disqualified due to suspended GSTIN certificate,14-Mar-2023 08:43 AM,Finance,3 No.s of bidders have participated in this bid. The technical and financial bids have been downloaded successfully and under scrutiny.,Subadar Pradhan,14-Mar-2023 08:39 AM,finance_429709.pdf,BOQ Comparative Chart,Block Development Officer,Internal,"BDO, AEE, Accounts Officer",Subadar Pradhan,14-Mar-2023 08:48 AM,finsummary_429709.pdf (215.93 KB),18-Apr-2023,"INR 2,651,965",270.0,Subadar Pradhan,08-Jun-2023 12:22 AM,workodder.pdf (1134.00 KB),AOC,"BDO, Panchayat Samiti, Nuapada","OFFICE OF BDO, Panchayat Samiti, Nuapada",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Nuapada||NUAPADA Block,e-Procurement Notice No- PSN-01/2022-23,2023_PRNPA_86449_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost, GST, PAN, LICENCE, EMD, AFFIDAVIT, NRC, MACHINERIES LIST","Construction of Day Care SC Cum HWC at Maraguda, Kermeli GP,Nuapada","Construction of Day Care SC Cum HWC at Maraguda, Kermeli GP,Nuapada.",Please refer Tender documents. ,NA ,"31,19,593",Civil Works - Buildings,NA ,Tender,90.0,270.0,"Kermeli GP, Nuapada",766105.0,NA ,NA ,NA ,"BDO Office, Panchayat Samiti, Nuapada",No ,No,24-Feb-2023 10:00 AM,10-Mar-2023 11:30 AM,24-Feb-2023 10:00 AM,09-Mar-2023 05:00 PM,24-Feb-2023 10:00 AM ,09-Mar-2023 05:00 PM ,24-Feb-2023 10:00 AM,09-Mar-2023 05:00 PM,"31,200",Yes,fixed,,Nil,Nil,"6,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,2,2096642,M/s.PRASHANT CHANDRAKAR,09-Mar-2023 01:27 PM,Accepted-AOC,Selected in Lottery,08-Jun-2023 12:26 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2096412,SARITA ROUT,09-Mar-2023 06:36 AM,Rejected-AOC,Rejected in Lottery,08-Jun-2023 12:26 AM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
