Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Superintending Engineer,Internal,"SE DRAINAGE,AEE DRAINAGE,AE DRAINAGE,HEAD ASSISTANT",Kalpana Maharathy,30-Jun-2023 12:07 PM,techsummary_434714.pdf (106.39 KB),1.0,2127871.0,Dillip Kumar Mishra,INR,"4,464,380",Municipal Bodies||Bhubaneswar Municipal Corporation,2023_ORULB_88049_1,BMC-EE-DD-2/2023-24 dtd.17.04.2023,"Construction of RCC drain with cover slab at Kachara Sahi and Plot no-508 to Plot-531 Tala sabar sahi, Gadakana, in ward no-9",1,2127871,Dillip Kumar Mishra,01-May-2023 09:02 PM,Accepted-AOC,1st lowest,30-Jun-2023 12:13 PM,30-Jun-2023,"INR 4,464,380",90.0,Kalpana Maharathy,30-Jun-2023 12:13 PM,WO-48.23.pdf (325.00 KB),Finance,5 bids opened successfully.,Goutam Chandra Das,04-May-2023 11:37 AM,finance_434714.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,"SE DRAINAGE,AEE DRAINAGE,AE DRAINAGE,HEAD ASSISTANT",Kalpana Maharathy,30-Jun-2023 12:12 PM,finsummary_434714.pdf (106.38 KB),AOC,1.0,ICICI BANK,19-Apr-2023 10:30 AM,04-May-2023 11:00 AM,19-Apr-2023 10:30 AM,03-May-2023 05:00 PM,NA ,NA ,19-Apr-2023 10:30 AM,03-May-2023 05:00 PM,Superintending Engineer,"Superintending Engineer Drainage division, BMC","42,033",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"Construction of RCC drain with cover slab at Kachara Sahi and Plot no-508 to Plot-531 Tala sabar sahi, Gadakana, in ward no-9","Construction of RCC drain with cover slab at Kachara Sahi and Plot no-508 to Plot-531 Tala sabar sahi, Gadakana, in ward no-9",As per DTCN ,NA ,"42,03,281",Civil Works - Others,NA ,Tender,120.0,90.0,BMC AREA LIMITED,751007.0,NA ,NA ,NA ,Superintending Engineer Chamber,No ,No,"6,000",0.0,Nil,Nil,No,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-DD-2/2023-24 dtd.17.04.2023,2023_ORULB_88049_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,2,2128906,Nibas Routray,03-May-2023 12:18 PM,Rejected-Finance,other than 1st lowest,30-Jun-2023 12:12 PM,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2129158,PRAKASH KUMAR PANDA,03-May-2023 03:01 PM,Rejected-Finance,other than 1st lowest,30-Jun-2023 12:12 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2128939,SOUMYA RANJAN MAHAKHUDA,03-May-2023 12:13 PM,Rejected-Finance,other than 1st lowest,30-Jun-2023 12:12 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2129101,SUVENDRA KUMAR JENA,03-May-2023 01:59 PM,Rejected-Finance,other than 1st lowest,30-Jun-2023 12:12 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
