Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Municipal Bodies||Khordha Municipality,KMPLTY/ 02/2023-24,2023_ORULB_88116_20,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"2,000",0.0,Nil,Nil,No,1,ICICI BANK,1.0,OPENING DATE EXTENSION,Date,,EXECUTIVE OFFICER KHORDHA MUNICIPALITY,EXECUTIVE OFFICER KHORDHA MUNICIPALITY,"2,540",Yes,percentage,1.0%,Nil,Nil,Construction of changing room near Badha Pokhari in Ward No 03,Construction of changing room near Badha Pokhari in Ward No 03,Please refer Tender documents. ,NA ,"2,54,047",Civil Works - Others,NA ,Tender,120.0,60.0,KHORDHA MUNICIPALITY,752055.0,NA ,NA ,NA ,KHORDHA MUNICIPALITY OFFICE,No ,No,1,Fee/PreQual/Technical,.pdf,"PAN card, Labour License and other documents as per DTCN",21-Apr-2023 11:00 AM,09-May-2023 09:00 AM,21-Apr-2023 11:00 AM,04-May-2023 05:00 PM,NA ,NA ,21-Apr-2023 11:00 AM,04-May-2023 05:00 PM,12-May-2023 09:30 AM,AOC,1,2129272,BIBHU PRASAD SAHOO,03-May-2023 04:49 PM,Accepted-AOC,DUE TO L1,17-Jun-2023 03:55 PM,17-Jun-2023,"INR 298,277",60.0,Rizwana Kawkab,17-Jun-2023 03:54 PM,IMG_20230617_0003.pdf (538.00 KB),Finance,OK,Rizwana Kawkab,12-May-2023 11:04 AM,,BOQ Comparative Chart,KANAKALAXMI MOHANTY,Internal,,Rizwana Kawkab,12-May-2023 09:29 AM,12-May-2023 09:30 AM,techsummary_435047.pdf (522.34 KB),KANAKALAXMI MOHANTY,Internal,,Rizwana Kawkab,17-Jun-2023 03:53 PM,finsummary_435047.pdf (375.98 KB),Technical,opened,Nihar Ranjan Sahu,09-May-2023 11:33 AM,technical_435047.pdf,Municipal Bodies||Khordha Municipality,2023_ORULB_88116_20,KMPLTY/ 02/2023-24,Construction of changing room near Badha Pokhari in Ward No 03,1.0,2129272.0,BIBHU PRASAD SAHOO,INR,"298,277",AOC
,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,AOC,2,2130054,SUBAS NAYAK,04-May-2023 02:54 PM,Rejected-Finance,DUE TO L2,17-Jun-2023 03:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
