Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,Tender opened successfully,Pranabananda Sahu,28-Feb-2023 06:03 PM,,BOQ Comparative Chart,1.0,2090962.0,MANIKA SETHI,INR,"450,289.99",Municipal Bodies||Balasore Municipality,2023_ORULB_86252_19,BM_10_2022_23,Construction of paver block road and RCC drain laundry gali Niranjan Sahu house to Bhagabata Nayak house in WARD NO_15 under Balasore Municipality,EO ME CP,Internal,,Pranabananda Sahu,26-Jun-2023 11:38 AM,finsummary_428924.pdf (291.47 KB),EO ME CP,Internal,,Pranabananda Sahu,23-Jun-2023 04:53 PM,techsummary_428924.pdf (291.47 KB),26-Jun-2023,"INR 559,250",60.0,Pranabananda Sahu,26-Jun-2023 11:40 AM,WO1019.pdf (287.00 KB),1,2090962,MANIKA SETHI,27-Feb-2023 11:58 AM,Accepted-AOC,L2,26-Jun-2023 11:42 AM,AOC,"Executive Officer, Balasore Municipality",Balasore Municipality,"4,739",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"2,000",0.0,Nil,Nil,No,Construction of paver block road and RCC drain laundry gali Niranjan Sahu house to Bhagabata Nayak house in WARD NO_15 under Balasore Municipality,Construction of paver block road and RCC drain laundry gali Niranjan Sahu house to Bhagabata Nayak house in WARD NO_15 under Balasore Municipality,Please refer Tender documents. ,NA ,"4,73,941",Civil Works - Others,NA ,Tender,90.0,60.0,Balasore Municipality,756003.0,NA ,NA ,NA ,Balasore Municipality,No ,No,1,ICICI BANK,Municipal Bodies||Balasore Municipality,BM_10_2022_23,2023_ORULB_86252_19,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,16-Feb-2023 05:00 PM,28-Feb-2023 11:00 AM,16-Feb-2023 05:00 PM,27-Feb-2023 05:00 PM,NA ,NA ,16-Feb-2023 05:00 PM,27-Feb-2023 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2091301,PRAFULLA KUMAR MOHALIK,27-Feb-2023 01:20 PM,Rejected-AOC,L1,26-Jun-2023 11:42 AM,AOC,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC
