Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Jayadeep Panda,Internal,,Jayadeep Panda,26-Jun-2023 08:35 PM,techsummary_434681.pdf (72.47 KB),1,2118204,Bhagaban Parida,26-Apr-2023 09:32 PM,Rejected-AOC,Not Successful in Lottery,30-Jun-2023 11:07 AM,30-Jun-2023,"INR 823,521",180.0,Jayadeep Panda,30-Jun-2023 11:07 AM,AOC-36.pdf (132.00 KB),1.0,2124329.0,S BISWANATH DORA,INR,"823,521",Finance,Eleven Bids Downloaded Successfully,Nalin Kumar Patnaik,28-Apr-2023 02:43 PM,,BOQ Comparative Chart,Jayadeep Panda,Internal,,Jayadeep Panda,27-Jun-2023 12:51 PM,finsummary_434681.pdf (72.47 KB),"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Berhampur Irrigation Divn Berhampur",2023_CEBMB_88014_36,e-BEID-01/2023-24,Renovation of leading channel from Dallibila Sagar to Kathua Nallah in Prushottampur NAC.,AOC,1.0,ICICI BANK,"10,000",Yes,fixed,,Nil,Nil,"S.E., Berhampur Irrigation Division, Berhampur","S.E., Berhampur Irrigation Division, Courtpeta, Berhampur",18-Apr-2023 10:00 AM,28-Apr-2023 11:00 AM,18-Apr-2023 10:00 AM,27-Apr-2023 05:30 PM,18-Apr-2023 10:00 AM ,24-Apr-2023 05:30 PM ,18-Apr-2023 10:00 AM,27-Apr-2023 05:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, EMD, RC, GST, PAN, Affidavit, Other documents as per DTCN",Renovation of leading channel from Dallibila Sagar to Kathua Nallah in Prushottampur NAC.,Renovation of leading channel,Please refer Tender documents. ,NA ,"9,69,000",Civil Works - Canal,NA ,Tender,90.0,180.0,Berhampur,760004.0,NA ,NA ,NA ,"O/o S.E., Berhampur Irr. Division, Berhampur",No ,No,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur||EE Berhampur Irrigation Divn Berhampur",e-BEID-01/2023-24,2023_CEBMB_88014_36,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,AOC
,,,,,,2,2122738,DIGAMBAR NAYAK,27-Apr-2023 06:57 AM,Rejected-AOC,Not Successful in Lottery,30-Jun-2023 11:07 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,3,2123608,G.Mohan Dora,26-Apr-2023 07:57 PM,Rejected-AOC,Not Successful in Lottery,30-Jun-2023 11:07 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,2123594,Godabari Swain,26-Apr-2023 07:40 PM,Rejected-AOC,Not Successful in Lottery,30-Jun-2023 11:07 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5,2123942,K PRATAP CHANDRA MOHAPATRA,27-Apr-2023 01:13 PM,Rejected-AOC,Not Successful in Lottery,30-Jun-2023 11:07 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6,2122281,NAMITA BEHERA,26-Apr-2023 08:40 PM,Rejected-AOC,Not Successful in Lottery,30-Jun-2023 11:07 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7,2123407,Pratap Chandra Panda,26-Apr-2023 05:15 PM,Rejected-AOC,Not Successful in Lottery,30-Jun-2023 11:07 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8,2123666,Sasmita Nayak,27-Apr-2023 07:16 AM,Rejected-AOC,Not Successful in Lottery,30-Jun-2023 11:07 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,9,2124329,S BISWANATH DORA,27-Apr-2023 12:43 PM,Accepted-AOC,Successful in Lottery,30-Jun-2023 11:07 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,10,2123373,Smt. Sunita Behera,26-Apr-2023 05:08 PM,Rejected-AOC,Not Successful in Lottery,30-Jun-2023 11:07 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
