Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Municipal Bodies||Angul Municipality,EO/AGLM-07/2022-23,2022_ORULB_80803_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,0.0,No,fixed,,Nil,Nil,600.0,0.0,Nil,Nil,No,30-Aug-2022 10:00 AM,09-Sep-2022 11:00 AM,30-Aug-2022 10:00 AM,08-Sep-2022 05:00 PM,NA ,NA ,30-Aug-2022 10:00 AM,08-Sep-2022 05:00 PM,Executive Officer,"O/O Executive Officer, Angul Municipality, Angul",1.0,ICICI BANK,Const. of c.c. road at Hadisahi in ward No.8,Const. of c.c. road at Hadisahi in ward No.8,Please refer Tender documents. ,NA ,"1,98,206",Civil Works - Others,NA ,Tender,90.0,60.0,Angul,759122.0,NA ,NA ,NA ,"O/O Executive Officer, Angul Municipality, Angul",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost. EMD declaration, RC, GST, PAN, Affidavit and other document as per DTCN",AOC,Chairperson,Internal,"ri Santosh Ku. Pradhan,ADM(R),G.S.Mallick,EO,Angul Municipality,Harihar Naik,ATO,Angul,Rabin ku. Das,AEE,Angul Municipality",Girija Sankar Mallik,02-Mar-2023 04:25 PM,finsummary_408968.pdf (1650.10 KB),Municipal Bodies||Angul Municipality,2022_ORULB_80803_10,EO/AGLM-07/2022-23,Const. of c.c. road at Hadisahi in ward No.8,1.0,1928244.0,BIRANCHI MOHAPATRA,INR,"168,495",Finance,5 Nos bidders participated,Girija Sankar Mallik,15-Sep-2022 12:20 PM,,BOQ Comparative Chart,1,1928643,BAPUJI KUMAR SAHOO,08-Sep-2022 12:17 PM,Rejected-AOC,Lottery looser,01-Jun-2023 11:25 AM,01-Jun-2023,"INR 198,206.35",60.0,Girija Sankar Mallik,01-Jun-2023 11:24 AM,AOC.pdf (583.00 KB),Date of agreement 01.11.2022 date of completion 31.01.2023,Chairperson,Internal,,Girija Sankar Mallik,23-Feb-2023 11:49 AM,techsummary_408968.pdf (3699.67 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,2,1928244,BIRANCHI MOHAPATRA,08-Sep-2022 12:19 PM,Accepted-AOC,Lottery winner,01-Jun-2023 11:25 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,1928347,PRIYABRATA BEHERA,07-Sep-2022 09:15 PM,Rejected-AOC,Lottery looser,01-Jun-2023 11:25 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,1927743,SANJAYA KUMAR JENA,07-Sep-2022 08:46 AM,Rejected-AOC,Lottery looser,01-Jun-2023 11:25 AM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,1928509,SATYABHAMA DAS,08-Sep-2022 10:57 AM,Rejected-AOC,Lottery looser,01-Jun-2023 11:25 AM,,,,,,,,,,,,,,AOC
