Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage
Finance,2 Nos. of bidder have participated in this estimate,Diptirekha Mallick,29-Mar-2023 12:17 PM,,BOQ Comparative Chart,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Jagatsinghpur||BALIKUDA Block,2023_PRBBU_86500_10,T.C.N NO.BDO/BALIKUDAO PS-02 2022-23,3. Construction of Day Care cum Health and Wellness Centre at Kusupur1,Block Development Officer,Internal,Asst. Executive Engineer and ABDO,Jitendra Kumar Nayak,27-May-2023 01:15 PM,techsummary_429890.pdf (467.38 KB),1,2097805,BHRAMAR BARA BEHERA,12-Mar-2023 05:33 PM,Rejected-Finance,being unsuccessful tender on lottery system,27-May-2023 01:23 PM,AOC,3. Construction of Day Care cum Health and Wellness Centre at Kusupur1,Construction of Day Care cum Health and Wellness Centre at Kusupur1,Please refer Tender documents. ,NA ,"30,96,667",Civil Works - Buildings,NA ,Tender,90.0,180.0,Balikuda Block,754108.0,NA ,NA ,NA ,"O/o the Panchayat Samiti, Balikuda",No ,No,27-Feb-2023 10:00 AM,15-Mar-2023 11:00 AM,27-Feb-2023 10:00 AM,14-Mar-2023 05:00 PM,NA ,NA ,27-Feb-2023 10:00 AM,14-Mar-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"GSTIN, R.C, PAN, Affidavit, undertaking, NRC, EMD with other documents as per DTCN","6,000",Nil,Nil,No,1,ICICI BANK,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Jagatsinghpur||BALIKUDA Block,T.C.N NO.BDO/BALIKUDAO PS-02 2022-23,2023_PRBBU_86500_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"30,970",Yes,fixed,,Nil,Nil,Block Development Officer,Block Development Officer,AOC
,,,,,,,,,,,,,,,,2,2097833,M/S. SABITA BEHERA,12-Mar-2023 07:06 PM,Accepted-AOC,"The work has been awarded to Sabita Behera, Contractor",08-Jun-2023 01:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC
