S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,TCN NO 37 OF 2022-23,2022_EICCL_84158_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,"RC,PAN,GSTN,COST OF TENDER PAPER,BID SECURITY DECLARATION,AFFIDAVIT, ALL DOCUMENT AS PER APPROVED DT",13-Dec-2022 10:00 AM,23-Dec-2022 11:30 AM,13-Dec-2022 10:00 AM,22-Dec-2022 05:00 PM,NA ,NA ,13-Dec-2022 10:00 AM,22-Dec-2022 05:00 PM,28-Dec-2022 03:30 PM,Construction of R.I. Office cum residence at Balagandi of Puri,Construction of R.I. Office cum residence at Balagandi of Puri,Please refer Tender documents. ,NA ,"64,59,999",Civil Works - Buildings,NA ,Tender,90.0,180.0,Puri,752001.0,NA ,NA ,NA ,"O/o the S.E. R and B Division, Puri",No ,No,"64,600",Yes,percentage,1.0%,Nil,Nil,Er Ajit Prasad Mohapatra,"O/o the S.E. R and B Division, Puri",AOC,ER. Ajit Prasad Mohapatra,Internal,Sri Bikram Keshari Pattanaik Smt Smita Pal,Ajit Prasad Mohapatra,27-Jun-2023 06:01 PM,finsummary_420488.pdf (285.37 KB),27-Jun-2023,"INR 5,491,645",180.0,Ajit Prasad Mohapatra,27-Jun-2023 06:21 PM,AOC.pdf (500.00 KB),The bidder won the transparency lottery so that the work has been awarded to him,Finance,Total 2 Nos bidder are admitted,Ajit Prasad Mohapatra,28-Dec-2022 04:30 PM,,BOQ Comparative Chart,Technical,Total 2 nos bidder are admitted,Ajit Prasad Mohapatra,23-Dec-2022 11:51 AM,,1,2022103,BHAJAMAN SAHOO,21-Dec-2022 10:48 PM,Accepted-AOC,The bidder won the transparency lottery so that the work has been awarded to him,27-Jun-2023 06:21 PM,1.0,2022103.0,BHAJAMAN SAHOO,INR,"5,491,645",EIC-CIVIL||SERNB-CIRCLE-KHURDA||EERNB-DIVN-PURI,2022_EICCL_84158_1,TCN NO 37 OF 2022-23,Construction of R.I. Office cum residence at Balagandi of Puri,Sri Ajit Prasad Mohapatra,Internal,Sri Bikram Keshari Pattnaik Smt. Smita Pal,Ajit Prasad Mohapatra,28-Dec-2022 02:05 PM,28-Dec-2022 03:30 PM,techsummary_420488.pdf (275.61 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,2023444,SUBRAT KUMAR DASH,22-Dec-2022 11:37 AM,Rejected-AOC,Rejected,27-Jun-2023 06:21 PM,,,,,,,,,,,,,,,,,AOC
