S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,"C.C.E, Northern R AND B Circle, SAMBALPUR","O/O THE C.C.E, Northern R AND B Circle, SAMBALPUR",31-Mar-2023 09:00 AM,13-Apr-2023 11:00 AM,31-Mar-2023 09:00 AM,12-Apr-2023 05:00 PM,31-Mar-2023 09:00 AM ,09-Apr-2023 05:00 PM ,31-Mar-2023 09:00 AM,12-Apr-2023 05:00 PM,24-Apr-2023 10:30 AM,Improvement to road from Dharapani to Derba from 0-00 km to 2-930km In the District of Sambalpur under State Plan for the year 2022-23,ROAD WORK,Please refer Tender documents. ,NA ,"2,34,34,143",Civil Works - Roads,NA ,Tender,90.0,180.0,"DHARAPANI DERBA, SAMBALPUR",768212.0,NA ,NA ,NA ,"O/O THE C.C.E, Northern R AND B Circle, SAMBALPUR",No ,No,"10,000",0.0,Nil,Nil,No,"2,35,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"GSTIN, PAN Contractor Registration Certificate Affidavit , No relation Certificate, Schedules as",EIC-CIVIL||SERNB-CIRCLE-NORTHERN,CCENC (R AND B) /23/ 2022-23,2023_EICCL_87307_22,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,26-Jun-2023,"INR 19,921,365",180.0,Arun Kumar Pattnaik,26-Jun-2023 01:33 PM,DERBA.pdf (497.00 KB),Agreement Drawn,1.0,2113041.0,BISWAKARMAA SUBHANSU CHANDRASEKHAR,12-Apr-2023 02:14 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,26-Jun-2023 01:31 PM,Finance,FINANCIAL BID OPENED,Arun Kumar Pattnaik,24-Apr-2023 11:57 AM,,BOQ Comparative Chart,A K PATTNAIK,Internal,A.K.LENKA ANIL KUMAR D.BEHERA S.K JENA,Anam Charan Sahoo,22-Apr-2023 05:42 PM,24-Apr-2023 10:30 AM,techsummary_432697.pdf (255.05 KB),A K PATTNAIK,Internal,A.K.LENKA ANIL KUMAR D.BEHERA S.K JENA,Arun Kumar Pattnaik,26-Jun-2023 01:31 PM,finsummary_432697.pdf (70.21 KB),EIC-CIVIL||SERNB-CIRCLE-NORTHERN,2023_EICCL_87307_22,CCENC (R AND B) /23/ 2022-23,Improvement to road from Dharapani to Derba from 0-00 km to 2-930km In the District of Sambalpur under State Plan for the year 2022-23,Technical,TECHNICAL BID ( COVER-I) OPENED,Anam Charan Sahoo,22-Apr-2023 05:36 PM,,1.0,2109688.0,CHAWALA CONSTRUCTION,INR,"19,921,365",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Ownership of machineries MOU for composite Building work etc,,,,,,,,,,,,,,,AOC,,,,,,,,2.0,2109688.0,CHAWALA CONSTRUCTION,07-Apr-2023 12:41 PM,Accepted-AOC,SUCCESSFUL THROUGH TRANSPARENT LOTTERY,26-Jun-2023 01:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience certificate and other documents as per DTCN,,,,,,,,,,,,,,,AOC,,,,,,,,3.0,2112482.0,KHAGESWAR BEHERA,11-Apr-2023 08:08 PM,Rejected-Finance,UNSUCCESSFUL THROUGH TRANSPARENT LOTTERY SYSTEM,26-Jun-2023 01:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
