Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Tender Stage
EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-PANIKOILI,2023_EICCL_85427_2,"Tender Call Notice No. S.E, PKL (RandB) 41/2022-23",S/R to Irrigation Embankment Road from NH-5 (Gokarneswar) to Budalingam Majhipada Road from 0/000K.m to 15/750K.m for the year 2022-23.,1,2067106,MADAN MOHAN NAYAK,INR,"5,403,474.6",Superintending Engineer,Internal,"Superintending Engineer, DAO and Estimator",Alok Kumar Mohanty,01-May-2023 05:21 PM,01-May-2023 06:00 PM,techsummary_425819.pdf (30.35 KB),21-Jun-2023,"INR 5,403,474.6",90.0,Alok Kumar Mohanty,21-Jun-2023 08:16 PM,12P1_23-24.pdf (971.00 KB),Superintending Engineer,Internal,"Superintending Engineer, DAO and Estimator",Alok Kumar Mohanty,21-Jun-2023 08:09 PM,finsummary_425819.pdf (30.34 KB),1,2067132,DEBASIS BARAL,31-Jan-2023 10:07 PM,Accepted-AOC,Participated in Lottery system,21-Jun-2023 08:18 PM,Technical,All bidders are admitted,Alok Kumar Mohanty,01-May-2023 05:17 PM,,Finance,All bidders are admitted,Alok Kumar Mohanty,21-Jun-2023 08:04 PM,,BOQ Comparative Chart,AOC,S/R to Irrigation Embankment Road from NH-5 (Gokarneswar) to Budalingam Majhipada Road from 0/000K.m to 15/750K.m for the year 2022-23.,Road Work,Please refer tender documents ,NA ,"63,56,282",Civil Works - Roads,NA ,Tender,90.0,90.0,Panikoili,755043.0,NA ,NA ,NA ,SE Pkl R and B Division,No ,No,1.0,Fee/PreQual/Technical,.pdf,Tender Documents as per DTCN,"10,000",0.0,Nil,Nil,Yes,EIC-CIVIL||SERNB-CIRCLE-CUTTACK||EERNB-DIVN-PANIKOILI,"Tender Call Notice No. S.E, PKL (RandB) 41/2022-23",2023_EICCL_85427_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"63,563",Yes,percentage,1.0%,Nil,Nil,20-Jan-2023 10:00 AM,02-Feb-2023 11:30 AM,20-Jan-2023 10:00 AM,01-Feb-2023 05:00 PM,20-Jan-2023 10:00 AM ,31-Jan-2023 05:00 PM ,20-Jan-2023 10:00 AM,01-Feb-2023 05:00 PM,01-May-2023 06:00 PM,SE Pkl R and B Division,SE Pkl R and B Division,1.0,ICICI BANK,AOC
,,,,2,2067132,DEBASIS BARAL,INR,"5,403,474.6",,,,,,,,,,,,,,,,,,,,2,2067384,DEBASISH ROUT,01-Feb-2023 01:03 PM,Accepted-AOC,Participated in Lottery system,21-Jun-2023 08:18 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,3,2067183,RAMESH CHANDRA PRADHAN,INR,"5,403,474.6",,,,,,,,,,,,,,,,,,,,3,2067367,Dukhishyam Sahu (SC ),01-Feb-2023 01:06 PM,Accepted-AOC,Participated in Lottery system,21-Jun-2023 08:18 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,4,2067301,SIPUN MALLICK,INR,"5,403,474.6",,,,,,,,,,,,,,,,,,,,4,2067106,MADAN MOHAN NAYAK,01-Feb-2023 03:08 PM,Accepted-AOC,Participated in Lottery system,21-Jun-2023 08:18 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,5,2067350,RAHUL KUMAR SATAPATHY,INR,"5,403,474.6",,,,,,,,,,,,,,,,,,,,5,2067688,PRAVUDUTTA BARIK,01-Feb-2023 04:53 PM,Accepted-AOC,Participated in Lottery system,21-Jun-2023 08:18 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,6,2067367,Dukhishyam Sahu (SC ),INR,"5,403,474.6",,,,,,,,,,,,,,,,,,,,6,2067350,RAHUL KUMAR SATAPATHY,01-Feb-2023 01:08 PM,Accepted-AOC,Participated in Lottery system,21-Jun-2023 08:18 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,7,2067384,DEBASISH ROUT,INR,"5,403,474.6",,,,,,,,,,,,,,,,,,,,7,2067431,Rajesh Kumar Sahoo,01-Feb-2023 01:36 PM,Accepted-AOC,Participated in Lottery system,21-Jun-2023 08:18 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,8,2067431,Rajesh Kumar Sahoo,INR,"5,403,474.6",,,,,,,,,,,,,,,,,,,,8,2067183,RAMESH CHANDRA PRADHAN,01-Feb-2023 02:05 PM,Accepted-AOC,Participated in Lottery system,21-Jun-2023 08:18 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,9,2067539,SAURAV BISWAL,INR,"5,403,474.6",,,,,,,,,,,,,,,,,,,,9,2067539,SAURAV BISWAL,01-Feb-2023 02:59 PM,Accepted-AOC,Participated in Lottery system,21-Jun-2023 08:18 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,10,2067688,PRAVUDUTTA BARIK,INR,"5,403,474.6",,,,,,,,,,,,,,,,,,,,10,2067301,SIPUN MALLICK,01-Feb-2023 12:07 PM,Accepted-AOC,Agreement Drawn in favour of Sipun Mallick through Lottery system,21-Jun-2023 08:18 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
