Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"Superintending Engineer, Jagatsinghpur Irrigation","O/o the Superintending Engineer, Jagatsinghpur Irrigation Division",16. Restoration to Hansua right embankment from Purusottampur to Basantapur,Restoration to Hansua right embankment from Purusottampur to Basantapur,Please refer Tender documents. ,NA ,"21,34,748",Civil Works - Others,NA ,Tender,90.0,180.0,Jagatsinghpur,754103.0,NA ,NA ,NA ,"O/o the S.E, Jagatsinghpur Irrigation Division",No ,No,"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE,Jagatsinghpur Irr Division,Jagatsinghpur",T.C.N. JSD-18 OF 2022-23,2023_CELBB_86059_16,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"21,350",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"GSTIN, R.C, PAN, Affidavit, undertaking, NRC, EMD with dept. officials etc.","6,000",0.0,Nil,Nil,No,10-Feb-2023 10:00 AM,24-Feb-2023 11:00 AM,10-Feb-2023 10:00 AM,23-Feb-2023 05:00 PM,10-Feb-2023 10:00 AM ,17-Feb-2023 05:00 PM ,10-Feb-2023 10:00 AM,23-Feb-2023 05:00 PM,AOC,"CE-BM,LMB Basin,BBSR||SE, Eastern Circle,Cuttack||EE,Jagatsinghpur Irr Division,Jagatsinghpur",2023_CELBB_86059_16,T.C.N. JSD-18 OF 2022-23,16. Restoration to Hansua right embankment from Purusottampur to Basantapur,DAO of JSD and Estimator of JID,Internal,"S.E, Jagatsinghpur Irrigation Division",Pratap Kumar Satapathy,26-Mar-2023 07:52 PM,finsummary_428222.pdf (54.49 KB),Finance,20 Nos. of bidder are participate in this tender,Pratap Kumar Satapathy,25-Feb-2023 09:03 PM,,BOQ Comparative Chart,1.0,2088413.0,ANIL KUMAR DASH,INR,"1,814,750",17-Apr-2023,"INR 1,814,750",180.0,Pratap Kumar Satapathy,17-Jun-2023 07:15 PM,16.pdf (63.00 KB),"Awarded to Anil Kumar Dash, L1 Bidder vide Agreement No.30P1 of 2023-24",1,2088388,AMARESWAR DAS,23-Feb-2023 03:02 PM,Rejected-Finance,being unsuccessful tender on lottery system,26-Mar-2023 07:52 PM,DAO of JSD and Estimator of JID,Internal,"S.E, Jagatsinghpur Irrigation Division",Pratap Kumar Satapathy,25-Mar-2023 05:00 PM,techsummary_428222.pdf (54.49 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2088413,ANIL KUMAR DASH,23-Feb-2023 04:33 PM,Accepted-AOC,L1 Bidder,17-Jun-2023 07:16 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2087060,ARCHANA BEHERA,22-Feb-2023 01:18 PM,Rejected-Finance,being unsuccessful tender on lottery system,26-Mar-2023 07:52 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2086594,Basanti Behera,23-Feb-2023 09:30 AM,Rejected-Finance,being unsuccessful tender on lottery system,26-Mar-2023 07:52 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2082463,BIJAYA BHOL,17-Feb-2023 02:56 PM,Rejected-Finance,being unsuccessful tender on lottery system,26-Mar-2023 07:52 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2088323,BISWAJIT NAYAK,23-Feb-2023 02:30 PM,Rejected-Finance,being unsuccessful tender on lottery system,26-Mar-2023 07:52 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2082371,BISWANATH KHATUA,17-Feb-2023 03:55 PM,Rejected-Finance,being unsuccessful tender on lottery system,26-Mar-2023 07:52 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2088397,CHANDRAKANTA MOHANTY,23-Feb-2023 03:06 PM,Rejected-Finance,being unsuccessful tender on lottery system,26-Mar-2023 07:52 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2086971,DEBASHIS SWAIN,22-Feb-2023 04:53 PM,Rejected-Finance,being unsuccessful tender on lottery system,26-Mar-2023 07:52 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2087701,DILIP RANJAN SAHOO,23-Feb-2023 01:09 PM,Rejected-Finance,being unsuccessful tender on lottery system,26-Mar-2023 07:52 PM,,,,,,,AOC
