Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Municipal Bodies||Khordha Municipality,2023_ORULB_88116_4,KMPLTY/ 02/2023-24,Road from Main road to Badha Sabar Sahi Via Jogamaya Temple in Ward No 03,1.0,2129260.0,BIBHU PRASAD SAHOO,INR,"795,999",KANAKALAXMI MOHANTY,Internal,,Rizwana Kawkab,12-May-2023 09:17 AM,12-May-2023 09:30 AM,techsummary_434921.pdf (522.34 KB),17-Jun-2023,"INR 795,999",60.0,Rizwana Kawkab,17-Jun-2023 03:58 PM,IMG_20230617_0004.pdf (539.00 KB),KANAKALAXMI MOHANTY,Internal,,Rizwana Kawkab,17-Jun-2023 03:57 PM,finsummary_434921.pdf (375.98 KB),1,2129260,BIBHU PRASAD SAHOO,03-May-2023 04:36 PM,Accepted-AOC,DUE TO L1,17-Jun-2023 03:58 PM,Technical,opened,Nihar Ranjan Sahu,09-May-2023 11:07 AM,technical_434921.pdf,Finance,OK,Rizwana Kawkab,12-May-2023 10:38 AM,,BOQ Comparative Chart,AOC,EXECUTIVE OFFICER KHORDHA MUNICIPALITY,EXECUTIVE OFFICER KHORDHA MUNICIPALITY,"6,780",Yes,percentage,1.0%,Nil,Nil,"4,000",0.0,Nil,Nil,No,1.0,OPENING DATE EXTENSION,Date,,Road from Main road to Badha Sabar Sahi Via Jogamaya Temple in Ward No 03,Road from Main road to Badha Sabar Sahi Via Jogamaya Temple in Ward No 03,Please refer Tender documents. ,NA ,"6,77,965",Civil Works - Roads,NA ,Tender,120.0,60.0,KHORDHA MUNICIPALITY,752055.0,NA ,NA ,NA ,KHORDHA MUNICIPALITY OFFICE,No ,No,1,ICICI BANK,21-Apr-2023 11:00 AM,09-May-2023 09:00 AM,21-Apr-2023 11:00 AM,04-May-2023 05:00 PM,NA ,NA ,21-Apr-2023 11:00 AM,04-May-2023 05:00 PM,12-May-2023 09:30 AM,1,Fee/PreQual/Technical,.pdf,"PAN card, Labour License and other documents as per DTCN",Municipal Bodies||Khordha Municipality,KMPLTY/ 02/2023-24,2023_ORULB_88116_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2130037,SUBAS NAYAK,04-May-2023 02:35 PM,Rejected-Finance,DUE TO L2,17-Jun-2023 03:57 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC
