Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Khordha||KHORDHA Block,2023_PRKHO_88077_2,01/SS/2023-24,Consruction of Two nos Additional Class Rooms At Bhagabat Dev Govt High School Jankia Khordha,1.0,2117045.0,RAMESH CHANDRA SAHOO,INR,"1,654,710.59",BDO Khordha,Internal,,Kshirabdhitanaya Sahoo,06-May-2023 03:59 PM,techsummary_434787.pdf (467.43 KB),Finance,3 bids are received,SIBANI SUBHADARSINI SAMANT,01-May-2023 12:54 PM,,BOQ Comparative Chart,BDO KHORDHA,Internal,,Kshirabdhitanaya Sahoo,13-Jun-2023 05:54 PM,finsummary_434787.pdf (540.32 KB),17-Jun-2023,"INR 1,654,710.59",180.0,Kshirabdhitanaya Sahoo,17-Jun-2023 05:57 PM,WorkOrderBhagabatdev.pdf (658.00 KB),1,2125770,BIBHU PRASAD SAHOO,28-Apr-2023 04:51 PM,Rejected-AOC,Rejected,17-Jun-2023 05:58 PM,AOC,1.0,ICICI BANK,Consruction of Two nos Additional Class Rooms At Bhagabat Dev Govt High School Jankia Khordha,Consruction of Two nos Additional Class Rooms At Bhagabat Dev Govt High School Jankia Khordha,Please refer Tender documents. ,NA ,"19,46,489",Civil Works - Buildings,NA ,Tender,90.0,180.0,KHORDA,752056.0,NA ,NA ,NA ,KHORDA,No ,No,19-Apr-2023 03:00 PM,01-May-2023 11:00 AM,19-Apr-2023 03:00 PM,29-Apr-2023 05:00 PM,19-Apr-2023 03:00 PM ,27-Apr-2023 05:00 PM ,19-Apr-2023 03:00 PM,29-Apr-2023 05:00 PM,BDO KHORDA,PANCHAYAT SAMITI KHORDA,1.0,Fee/PreQual/Technical/Finance,.pdf,Document as per the DTCN,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Khordha||KHORDHA Block,01/SS/2023-24,2023_PRKHO_88077_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"19,465",Yes,percentage,1.0%,Nil,Nil,"6,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2117045,RAMESH CHANDRA SAHOO,28-Apr-2023 06:11 PM,Accepted-AOC,Accepted AOC,17-Jun-2023 05:58 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2125459,UPENDRA KUMAR BHANJADEO,28-Apr-2023 09:26 PM,Rejected-AOC,Rejected,17-Jun-2023 05:58 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
