S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,2092077.0,"KABI PRASAD BEHERA, S.C.",INR,"945,326",Finance,10 Nos Bidders Participated,K. Krishna Rao,03-Mar-2023 04:31 PM,,BOQ Comparative Chart,"SE PRACHI DIVISION, BHUBANESWAR",Internal,"DAO PRACHI DIVISION, BHUBANESWAR, AEE (ESTIMATOR) PRACHI DIVISION, BHUBANESWAR",K. Krishna Rao,14-Apr-2023 01:04 PM,finsummary_429460.pdf (96.97 KB),"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",2023_CELBB_86355_37,e-Procurement Notice No.SEPRD-27/2022-23,(37) Renovation of Dhanamandal Minor from RD 0.800 Km. to 0.900 Km. and Manikunda Minor from RD 0.180 Km. to 0.210 Km.,"SE PRACHI DIVISION, BHUBANESWAR",Internal,"DAO PRACHI DIVISION, BHUBANESWAR, AEE (ESTIMATOR) PRACHI DIVISION, BHUBANESWAR",K. Krishna Rao,13-Apr-2023 10:12 AM,techsummary_429460.pdf (96.97 KB),1,2092064,BHOLANATH DASH,28-Feb-2023 05:11 PM,Rejected-Finance,Other than L1,14-Apr-2023 01:04 PM,24-Apr-2023,"INR 945,326",90.0,K. Krishna Rao,02-Jun-2023 07:36 PM,AOC_27_37.pdf (125.00 KB),The work has been awarded to Kabi Prasad Behera,AOC,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Prachi Division,Bhubaneswar",e-Procurement Notice No.SEPRD-27/2022-23,2023_CELBB_86355_37,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,20-Feb-2023 11:00 AM,02-Mar-2023 11:00 AM,20-Feb-2023 11:00 AM,01-Mar-2023 05:00 PM,20-Feb-2023 11:00 AM ,27-Feb-2023 05:00 PM ,20-Feb-2023 11:00 AM,01-Mar-2023 05:00 PM,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"EMD, Contractor R.C, PAN, GSTIN, Affidavits, NRC, undertaking and any other documents as per SBD/DTC","S.E, Prachi Division, Bhubaneswar","S.E, Prachi Division, Bhubaneswar",(37) Renovation of Dhanamandal Minor from RD 0.800 Km. to 0.900 Km. and Manikunda Minor from RD 0.180 Km. to 0.210 Km.,Renovation of Dhanamandal Minor from RD 0.800 Km. to 0.900 Km. and Manikunda Minor from RD 0.180 Km. to 0.210 Km.,Please refer Tender documents. ,NA ,"11,12,017",Civil Works - Others,NA ,Tender,90.0,90.0,Kantapada,754002.0,NA ,NA ,NA ,"S.E, Prachi Division, Bhubaneswar",No ,No,1.0,ICICI BANK,"11,200",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2088239,BIRANCHI NARAYAN PATRA,24-Feb-2023 05:58 PM,Rejected-Finance,Other than L1,14-Apr-2023 01:04 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2092077,"KABI PRASAD BEHERA, S.C.",28-Feb-2023 05:16 PM,Accepted-AOC,Selected in the Lottery,02-Jun-2023 07:37 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2092868,KSHETRAMOHAN MOHAPATRA,01-Mar-2023 01:20 AM,Rejected-Finance,Other than L1,14-Apr-2023 01:04 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2093060,RASHMI RANJAN MOHAPATRA,01-Mar-2023 11:00 AM,Rejected-Finance,Other than L1,14-Apr-2023 01:04 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2093566,SRIKANTA SWAIN,01-Mar-2023 04:20 PM,Rejected-Finance,Other than L1,14-Apr-2023 01:04 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2085628,SRUTIKANTA MOHANTY,23-Feb-2023 01:00 PM,Rejected-Finance,Other than L1,14-Apr-2023 01:04 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2091519,Surath Kumar Senapati,28-Feb-2023 03:46 PM,Rejected-Finance,Other than L1,14-Apr-2023 01:04 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2092768,SWAPNARANI SWAIN,01-Mar-2023 10:22 AM,Rejected-Finance,Other than L1,14-Apr-2023 01:04 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2092725,SWAPNARANI SWAIN,28-Feb-2023 06:55 PM,Rejected-Finance,Other than L1,14-Apr-2023 01:04 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
