Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"4,000",0.0,Nil,Nil,No,1,ICICI BANK,21-Apr-2023 11:00 AM,09-May-2023 09:00 AM,21-Apr-2023 11:00 AM,04-May-2023 05:00 PM,NA ,NA ,21-Apr-2023 11:00 AM,04-May-2023 05:00 PM,12-May-2023 09:30 AM,EXECUTIVE OFFICER KHORDHA MUNICIPALITY,EXECUTIVE OFFICER KHORDHA MUNICIPALITY,1,Fee/PreQual/Technical,.pdf,"PAN card, Labour License and other documents as per DTCN",Widening of Road from Haveli Chhaka to Book Store in Ward No 08,Widening of Road from Haveli Chhaka to Book Store in Ward No 08,Please refer Tender documents. ,NA ,"6,77,965",Civil Works - Roads,NA ,Tender,120.0,60.0,KHORDHA MUNICIPALITY,752055.0,NA ,NA ,NA ,KHORDHA MUNICIPALITY OFFICE,No ,No,Municipal Bodies||Khordha Municipality,KMPLTY/ 02/2023-24,2023_ORULB_88116_9,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,OPENING DATE EXTENSION,Date,,"6,780",Yes,percentage,1.0%,Nil,Nil,AOC,Finance,OK,Rizwana Kawkab,12-May-2023 10:47 AM,,BOQ Comparative Chart,Technical,opened,Nihar Ranjan Sahu,09-May-2023 11:14 AM,technical_434930.pdf,1,2130022,BIBHU PRASAD SAHOO,04-May-2023 02:16 PM,Accepted-AOC,DUE TO L1,17-Jun-2023 04:03 PM,KANAKALAXMI MOHANTY,Internal,,Rizwana Kawkab,17-Jun-2023 04:01 PM,finsummary_434930.pdf (375.98 KB),17-Jun-2023,"INR 795,999",60.0,Rizwana Kawkab,17-Jun-2023 04:02 PM,IMG_20230617_0005.pdf (537.00 KB),KANAKALAXMI MOHANTY,Internal,,Rizwana Kawkab,12-May-2023 09:22 AM,12-May-2023 09:30 AM,techsummary_434930.pdf (522.34 KB),1.0,2130022.0,BIBHU PRASAD SAHOO,INR,"795,999",Municipal Bodies||Khordha Municipality,2023_ORULB_88116_9,KMPLTY/ 02/2023-24,Widening of Road from Haveli Chhaka to Book Store in Ward No 08,AOC
,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,2130043,SUBAS NAYAK,04-May-2023 02:45 PM,Rejected-Finance,DUE TO L2,17-Jun-2023 04:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
