Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Khordha||KHORDHA Block,2023_PRKHO_88077_1,01/SS/2023-24,Consruction of Two nos Additional Class Rooms At Mahamaya Govt High School Nuapada Muktapur Khordha,1.0,2117054.0,RAMESH CHANDRA SAHOO,INR,"1,647,236.33",BDO Khordha,Internal,,Kshirabdhitanaya Sahoo,06-May-2023 03:53 PM,techsummary_434781.pdf (440.88 KB),Finance,5 bids are received,DEBADATTA MOHANTY,01-May-2023 12:44 PM,,BOQ Comparative Chart,BDO KHORDHA,Internal,,Kshirabdhitanaya Sahoo,13-Jun-2023 05:52 PM,finsummary_434781.pdf (550.18 KB),17-Jun-2023,"INR 1,647,236.33",180.0,Kshirabdhitanaya Sahoo,17-Jun-2023 06:00 PM,WorkorderMahamayaHS.pdf (629.00 KB),1,2125730,BIBHU PRASAD SAHOO,28-Apr-2023 04:46 PM,Rejected-AOC,Rejected,17-Jun-2023 06:01 PM,AOC,19-Apr-2023 03:00 PM,01-May-2023 11:00 AM,19-Apr-2023 03:00 PM,29-Apr-2023 05:00 PM,19-Apr-2023 03:00 PM ,27-Apr-2023 05:00 PM ,19-Apr-2023 03:00 PM,29-Apr-2023 05:00 PM,Consruction of Two nos Additional Class Rooms At Mahamaya Govt High School Nuapada Muktapur Khordha,Consruction of Two nos Additional Class Rooms At Mahamaya Govt High School Nuapada Muktapur Khordha,Please refer Tender documents. ,NA ,"19,37,697",Civil Works - Buildings,NA ,Tender,90.0,180.0,KHORDA,752056.0,NA ,NA ,NA ,KHORDA,No ,No,"19,377",Yes,percentage,1.0%,Nil,Nil,"6,000",Nil,Nil,No,BDO KHORDA,PANCHAYAT SAMITI KHORDA,1.0,Fee/PreQual/Technical/Finance,.pdf,Document as per the DTCN,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Khordha||KHORDHA Block,01/SS/2023-24,2023_PRKHO_88077_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2124533,MD FAZELE KARIM,29-Apr-2023 07:57 AM,Rejected-Finance,Transparent Lottery System,13-Jun-2023 05:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2117054,RAMESH CHANDRA SAHOO,28-Apr-2023 06:07 PM,Accepted-AOC,Accepted AOC,17-Jun-2023 06:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2126477,Sangram Keshari Badajena,29-Apr-2023 02:16 PM,Rejected-AOC,Rejected,17-Jun-2023 06:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2125450,UPENDRA KUMAR BHANJADEO,28-Apr-2023 09:24 PM,Rejected-Finance,Transparent Lottery System,13-Jun-2023 05:52 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
