Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"Chief Construction Engineer, R.W.Circle, Bolangir","O/o Chief Construction Engineer, R.W.Circle, Bolangir","1,00,010",Yes,percentage,1.0%,Nil,Nil,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,CE RW I||RWCIRCLE-BALANGIR,BLGR-Online-25/2022-23,2023_CERWI_86708_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,04-Mar-2023 11:40 AM,20-Mar-2023 11:00 AM,04-Mar-2023 11:40 AM,18-Mar-2023 05:00 PM,04-Mar-2023 11:40 AM ,17-Mar-2023 05:00 PM ,04-Mar-2023 11:40 AM,18-Mar-2023 05:00 PM,29-Apr-2023 10:00 AM,1.0,Fee/PreQual/Technical,.pdf,"R.C, PAN, GSTIN, EMD, Tender Paper Cost, Affidavit regarding correctness, No relation certificate",Construction of road from Badabhalupali to Satalama under CMRL in the district of Subarnapur for the year 2022-23,Construction of road from Badabhalupali to Satalama under CMRL in the district of Subarnapur for the year 2022-23,Please refer Tender documents. ,NA ,"1,00,01,000",Civil Works - Roads,NA ,Tender,90.0,180.0,Sonepur,767017.0,NA ,NA ,NA ,"O/o the C.C.E.R.W.Circle, Bolangir",No ,No,AOC,1.0,2100185.0,Jayanta Barik,INR,"8,501,643",CE RW I||RWCIRCLE-BALANGIR,2023_CERWI_86708_4,BLGR-Online-25/2022-23,Construction of road from Badabhalupali to Satalama under CMRL in the district of Subarnapur for the year 2022-23,D K Seth,Internal,,Debendra Kumar Seth,21-Apr-2023 01:55 PM,29-Apr-2023 10:00 AM,techsummary_430452.pdf (743.07 KB),D K SETH,Internal,,Debendra Kumar Seth,12-Jun-2023 02:19 PM,finsummary_430452.pdf (51.99 KB),12-Jun-2023,"INR 8,501,643",180.0,Debendra Kumar Seth,12-Jun-2023 02:21 PM,badbhalupali.pdf (1035.00 KB),Success in lottery system,Technical,technical bids are opened,Debendra Kumar Seth,20-Mar-2023 12:52 PM,technical_430452.pdf,1,2100386,ajit kumar dash,18-Mar-2023 01:59 PM,Rejected-Finance,Unsuccess in lottery system,12-Jun-2023 02:19 PM,Finance,16 nos bids opened,Debendra Kumar Seth,29-Apr-2023 10:35 AM,finance_430452.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"ATO, Similar Nature of Work, Machineries and others documents as per DTCN",,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2100110,AMAN ULLA KHAN,17-Mar-2023 09:42 PM,Rejected-Finance,Unsuccess in lottery system,12-Jun-2023 02:19 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2100482,BALAMAKUNDA PUROHIT,18-Mar-2023 03:38 PM,Rejected-Finance,Unsuccess in lottery system,12-Jun-2023 02:19 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2097570,DEBASIS PATTJOSHI,16-Mar-2023 02:52 PM,Rejected-Finance,Unsuccess in lottery system,12-Jun-2023 02:19 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2097569,Dinabandhu Mirdha,10-Mar-2023 08:47 PM,Rejected-Finance,3rd lowest,12-Jun-2023 02:19 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2099825,Hemraj Jain,17-Mar-2023 12:06 PM,Rejected-Finance,Unsuccess in lottery system,12-Jun-2023 02:19 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2100185,Jayanta Barik,18-Mar-2023 06:51 AM,Accepted-AOC,1st lowest,12-Jun-2023 02:22 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2100504,MAHESH CHOUDHURY,18-Mar-2023 04:36 PM,Rejected-Finance,Unsuccess in lottery system,12-Jun-2023 02:19 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2100057,NAIMISH KUMAR PADHAN,18-Mar-2023 01:04 AM,Rejected-Finance,Unsuccess in lottery system,12-Jun-2023 02:19 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2100326,NIRUPAMA DASH,18-Mar-2023 03:12 PM,Rejected-Finance,Unsuccess in lottery system,12-Jun-2023 02:19 PM,,,,,,,AOC
