Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Nayagarh||NAYAGARH Block,NGRBlock/2023/01,2023_PRNY_85675_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,FEE CORRIGENDIUM,Fee,,"6,000",Nil,Nil,No,1.0,ICICI BANK,New Construction of Day Care Sub Centre cum Health Wellness Centre at Gambharidihi,New Construction of Day Care Sub Centre cum Health Wellness Centre at Gambharidihi,Please refer Tender documents. ,NA ,"37,72,993",Civil Works - Others,NA ,Tender,180.0,180.0,Nayagarh,752069.0,NA ,NA ,NA ,Nayagarh Block,No ,No,BDO Nayagarh,Nayagarh Block,04-Feb-2023 11:00 AM,15-Feb-2023 11:00 AM,04-Feb-2023 11:00 AM,14-Feb-2023 05:00 PM,NA ,NA ,04-Feb-2023 11:00 AM,14-Feb-2023 05:00 PM,"37,730",Yes,percentage,1.0%,Nil,Nil,AOC,05-Jun-2023,"INR 3,772,993",180.0,Padma Charan Shaoo,05-Jun-2023 12:09 AM,Workorder.pdf (2050.00 KB),1.0,2078459.0,DIBAKAR BEHERA,INR,"3,772,993",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Nayagarh||NAYAGARH Block,2023_PRNY_85675_1,NGRBlock/2023/01,New Construction of Day Care Sub Centre cum Health Wellness Centre at Gambharidihi,"Padma Charan Sahoo,BDO Nayagarh",Internal,,Padma Charan Shaoo,04-Jun-2023 11:11 PM,finsummary_426788.pdf (940.76 KB),Finance,18 numbers bidder accepted.,Padma Charan Shaoo,31-May-2023 07:05 PM,,BOQ Comparative Chart,"Padma Charan Sahoo,BDO Nayagarh",Internal,,Padma Charan Shaoo,04-Jun-2023 11:03 PM,techsummary_426788.pdf (940.76 KB),1,2078515,AMJAD KHAN,14-Feb-2023 01:40 PM,Rejected-AOC,Not selected in lottery system,05-Jun-2023 12:13 AM,AOC
,,.xls,BOQ,,,,,,,,,,,,,,,2.0,TECHNICAL BID OPENING DATE CHANGE,Other,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2078326,BHAGABAT PARIDA,14-Feb-2023 12:02 PM,Rejected-AOC,Not selected in lottery system,05-Jun-2023 12:13 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2078606,BIBHUTI BHUSANA PARIDA,14-Feb-2023 03:09 PM,Rejected-AOC,Not selected in lottery system,05-Jun-2023 12:13 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2078459,DIBAKAR BEHERA,14-Feb-2023 01:15 PM,Accepted-AOC,Selected through lottery system,05-Jun-2023 12:13 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2078740,DILLIP KUMAR CHAMPATI,14-Feb-2023 03:53 PM,Rejected-AOC,Not selected in lottery system,05-Jun-2023 12:13 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2078455,DILLIP KUMAR TRIPATHY,14-Feb-2023 01:09 PM,Rejected-AOC,Not selected in lottery system,05-Jun-2023 12:13 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2078284,HARAMOHAN MALLICK,14-Feb-2023 11:15 AM,Rejected-AOC,Not selected in lottery system,05-Jun-2023 12:13 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2078429,JYOSNARANI PATRA,14-Feb-2023 01:56 PM,Rejected-AOC,Not selected in lottery system,05-Jun-2023 12:13 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2076434,KASINATH KAANRA,13-Feb-2023 06:54 PM,Rejected-AOC,Not selected in lottery system,05-Jun-2023 12:13 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2078543,KUMUD CHANDRA MOHAPATRA,14-Feb-2023 04:18 PM,Rejected-AOC,Not selected in lottery system,05-Jun-2023 12:13 AM,AOC
