Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE,MI Divn, Jashipur",2023_CEMIB_85200_3,OIIPCRA-JAS/W2-3/2022-23,Modernisation to Chitraposi MIP (Res) in Karanjia Block under OIIPCRA 2022-23,1.0,2075975.0,SRI HEMANANDA SAHOO,INR,"1,700,697.99",Er. Shankar Prasad Kalamuri,Internal,,SHANKAR PRASAD KALMURI,19-Apr-2023 12:19 PM,19-Apr-2023 12:30 PM,techsummary_424738.pdf (693.60 KB),17-May-2023,"INR 1,668,478.52",180.0,SHANKAR PRASAD KALMURI,07-Jun-2023 11:17 AM,ChitraposiOIIPCRA.pdf (481.00 KB),Er.Shankar Prasad Kalamuri,Internal,,SHANKAR PRASAD KALMURI,17-May-2023 01:10 PM,finsummary_424738.pdf (389.68 KB),1.0,2075975.0,SRI HEMANANDA SAHOO,10-Feb-2023 01:17 PM,Accepted-AOC,Qualified,07-Jun-2023 11:17 AM,Technical,Found valid and accepted,SHANKAR PRASAD KALMURI,19-Apr-2023 12:10 PM,,Finance,Qualified,SHANKAR PRASAD KALMURI,03-May-2023 11:39 AM,,BOQ Comparative Chart,AOC,SE MI DIVISION Jashipur,O/o SE MI DIVISION Jashipur,Modernisation to Chitraposi MIP (Res) in Karanjia Block under OIIPCRA 2022-23,Modernisation to Chitraposi MIP Res in Karanjia Block under OIIPCRA 2022-23,As per the DTCN ,NA ,"16,65,700",Civil Works - Canal,NA ,Tender,90.0,180.0,O/o SE MI DIVISION Jashipur,757091.0,O/o SE MI DIVISION Jashipur ,O/o SE MI DIVISION Jashipur ,24-Jan-2023 11:30 AM ,O/o SE MI DIVISION Jashipur,No ,No,"16,700",No,fixed,,Nil,Nil,0.0,0.0,Nil,Nil,No,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||EE,MI Divn, Jashipur",OIIPCRA-JAS/W2-3/2022-23,2023_CEMIB_85200_3,Yes,National Competitive Bid,Item Rate,Works,2.0,No,No,Online,No,No,No,1,ICICI BANK,13-Jan-2023 10:00 AM,10-Feb-2023 03:30 PM,13-Jan-2023 10:00 AM,10-Feb-2023 03:00 PM,13-Jan-2023 10:00 AM ,10-Feb-2023 03:00 PM ,13-Jan-2023 10:00 AM,10-Feb-2023 03:00 PM,19-Apr-2023 12:30 PM,1,Fee/PreQual/Technical,.pdf,RC GSTIN PAN AFFIDAVIT WORK EXPRIENCE TURNOVER CREDIT,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,2,Finance,.xls,BOQ,AOC
