Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Sri Tarini Chandra Sethy,Internal,Sri M R Behera DD Sri B R Sethy DD Sri P K Mohapatra DD Sri S K Panda AEE,Manoranjan Behera,20-May-2023 06:50 PM,techsummary_436271.pdf (486.90 KB),01-Jun-2023,"INR 1,685,782",120.0,Himanshu Sekhar Behera,22-Jun-2023 10:12 AM,20Bartansil.pdf (1486.00 KB),Through transparent lottery system.,1,2135096,ASIAN GEOTECH RESEARCH SERVICES,10-May-2023 12:26 PM,Accepted-AOC,Through transparent lottery system.,22-Jun-2023 10:16 AM,Finance,11(eleven) nos. of bidders have participated.,Himanshu Sekhar Behera,11-May-2023 04:03 PM,,BOQ Comparative Chart,1.0,2135096.0,ASIAN GEOTECH RESEARCH SERVICES,INR,"1,685,782",Command Area Development-CAD (DOWR)||Jt. Director Survey and Planning,2023_CADSP_88509_20,JDSP-01/2023-24,Survey and Planning for Command Area Development and water management in Bartansil MIP of Block Boden in Nuapada District,Sri Tarini Chandra Sethy JD,Internal,Sri M R Behera DD Sri B R Sethy DD Sri P K Mohapatra DD Sri S K Panda AEE,Himanshu Sekhar Behera,22-May-2023 06:41 PM,finsummary_436271.pdf (520.84 KB),AOC,"6,000",Nil,Nil,No,Command Area Development-CAD (DOWR)||Jt. Director Survey and Planning,JDSP-01/2023-24,2023_CADSP_88509_20,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Deputy Director,"office of JD, Survey and Planning, OFMRDC Campus, Satyanagar, Bhubaneswar-7, Odisha,",01-May-2023 11:00 AM,11-May-2023 11:00 AM,01-May-2023 11:00 AM,10-May-2023 05:00 PM,01-May-2023 11:00 AM ,06-May-2023 05:00 PM ,01-May-2023 11:00 AM,10-May-2023 05:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid Regd. Cert, GSTIN, PAN card, NRC, EMD,Bid Security Declaration, Affidavit and other Document","19,900",Yes,fixed,,Nil,Nil,Survey and Planning for Command Area Development and water management in Bartansil MIP of Block Boden in Nuapada District,Survey and Planning for Command Area Development and water management,Please refer Tender documents. ,NA ,"19,83,040",Civil Works - Others,NA ,Tender,90.0,120.0,Boden,766118.0,NA ,NA ,NA ,"JD, SP, OFMRDC Campus, Satyanagar, Bhubaneswar-7",No ,No,AOC
,,,,,,,,,,,,,2,2135359,CHETAK ENGINEERS,10-May-2023 02:06 PM,Rejected-Technical,Due to non-fulfilling of criteria as per DTCN,20-May-2023 06:50 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3,2135407,D N CONSULTANT,10-May-2023 11:35 AM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 10:16 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,2134936,Hydropneum Systems,10-May-2023 11:12 AM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 10:16 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,2131877,M/s M K CONSULTANCY,09-May-2023 01:58 PM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 10:16 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,2135329,NIRAJ BHARAT VANKUDRE,10-May-2023 10:51 AM,Rejected-Technical,Due to non- fulfilling of criteria as per DTCN,20-May-2023 06:50 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,2134210,"Pioneer, Consulting Engineers & Contractors",09-May-2023 10:19 AM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 10:16 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,2131414,Sujal Associates,06-May-2023 10:34 AM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 10:16 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,2134239,VENKATESHWARA ENTERPRISES,10-May-2023 11:14 AM,Rejected-Technical,Due to non- fulfilling of criteria as per DTCN,20-May-2023 06:50 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,2129864,Visiontek Consultancy Services Pvt. Ltd.,10-May-2023 01:35 PM,Rejected-AOC,Through transparent lottery system.,22-Jun-2023 10:16 AM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
