Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"10,000",0.0,Nil,Nil,No,1.0,CHANGE IN LIST OF MAKE BRAND FOR ELECTRICAL ITEMS,Other,,18-Apr-2023 10:00 AM,03-May-2023 11:00 AM,18-Apr-2023 10:00 AM,02-May-2023 04:00 PM,18-Apr-2023 10:00 AM ,02-May-2023 04:00 PM ,18-Apr-2023 10:00 AM,02-May-2023 04:00 PM,18-May-2023 11:00 AM,EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-RAIRANGPUR,IFB SE 01 OF 2023-24,2023_EICCL_87991_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,S.E RAIRANGPUR R AND B DIVISION,O/O THE S.E RAIRANGPUR R AND B DIVISION,1.0,Fee/PreQual/Technical,.pdf,COPY OF ONLINE TRANSFER TOWARDS COST OF BID DOCUMENT AND EMD,1.0,ICICI BANK,"Repair, Renovation and Upgradation of Refurbishing Physical Health Infrastructure and Strengthening Basic Patient Amenities at Sirsa CHC in the District of Mayurbhanj under AMA HOSPITAL INITIATIVES",BUILDING WORK,Please refer Tender documents. ,NA ,"2,34,05,500",Civil Works - Buildings,NA ,Tender,90.0,150.0,RAIRANGPUR,757043.0,NA ,NA ,NA ,O/O THE S.E RAIRANGPUR R AND DIVISION,No ,No,"2,34,100",Yes,fixed,,Nil,Nil,AOC,HEMANT NAIK,Internal,MANIK SAHA AMARNATH SUBUDHI,S. AMARNATH SUBUDHI,27-Jun-2023 05:33 PM,finsummary_434549.pdf (1124.23 KB),27-Jun-2023,"INR 19,897,034",150.0,S. AMARNATH SUBUDHI,27-Jun-2023 05:38 PM,WO.pdf (1526.00 KB),WORK ORDER ISSUED TO SRI SHUBHAM MADHUAL,Technical,ELEVEN NOS BIDS OPENED FOR TECHNICAL EVALUATION,S. AMARNATH SUBUDHI,03-May-2023 04:53 PM,,1,2127680,ABHIJIT PANIGRAHI,01-May-2023 05:14 PM,Rejected-AOC,L1,27-Jun-2023 05:40 PM,Finance,FINANCIAL BID OPENED FOR EVALUATION,Hemant Naik,18-May-2023 06:34 PM,,BOQ Comparative Chart,1.0,2128266.0,SRI SHUBHAM MADHUAL,INR,"19,897,034",EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-RAIRANGPUR,2023_EICCL_87991_4,IFB SE 01 OF 2023-24,"Repair, Renovation and Upgradation of Refurbishing Physical Health Infrastructure and Strengthening Basic Patient Amenities at Sirsa CHC in the District of Mayurbhanj under AMA HOSPITAL INITIATIVES",HEMANT NAIK,Internal,MANIK SAHA AMARNATH SUBUDHI,S. AMARNATH SUBUDHI,17-May-2023 06:40 PM,18-May-2023 11:00 AM,techsummary_434549.pdf (11518.45 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"LICENCE, GSTIN AND PAN CARD",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,2127937,AKASH KUMAR PAIDA,02-May-2023 07:00 AM,Rejected-AOC,L1,27-Jun-2023 05:40 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,MACHINERIES AND OTHER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,2128310,ANSHUMAN RATHA,02-May-2023 03:02 PM,Rejected-AOC,L1,27-Jun-2023 05:40 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,2121712,B.K. SAURAV,25-Apr-2023 08:34 AM,Rejected-Technical,DISQUALIFIED,17-May-2023 06:40 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,2128253,DINAKRUSHNA DAS,02-May-2023 02:17 PM,Rejected-AOC,L1,27-Jun-2023 05:40 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,2127509,M/s. A. K. BROTHERS,01-May-2023 08:15 PM,Rejected-AOC,L1,27-Jun-2023 05:40 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,2127030,PRASHANT KUMAR SINGH,02-May-2023 03:20 PM,Rejected-AOC,L1,27-Jun-2023 05:40 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,2120688,RAJKUMAR DANDPAT,24-Apr-2023 11:46 AM,Rejected-AOC,L1,27-Jun-2023 05:40 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,2128266,SRI SHUBHAM MADHUAL,02-May-2023 02:25 PM,Accepted-AOC,L1 LOTTERY WINNER,27-Jun-2023 05:40 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,2127747,SUDAM KUMAR SAHU,02-May-2023 03:41 PM,Rejected-AOC,L1,27-Jun-2023 05:40 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,11,2127939,SUDIPTA KAR,02-May-2023 07:29 AM,Rejected-AOC,L1,27-Jun-2023 05:40 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
